com.alibaba.fastjson2:fastjson2-incubator-vector;com.alibaba.fastjson2;fastjson2-incubator-vector
org.webjars.npm:alpinejs__ui;org.webjars.npm;alpinejs__ui
io.github.microsphere-projects:microsphere-spring-context;io.github.microsphere-projects;microsphere-spring-context
io.github.microsphere-projects:microsphere-spring-jdbc;io.github.microsphere-projects;microsphere-spring-jdbc
io.github.microsphere-projects:microsphere-spring-web;io.github.microsphere-projects;microsphere-spring-web
io.github.microsphere-projects:microsphere-spring-webmvc;io.github.microsphere-projects;microsphere-spring-webmvc
io.github.microsphere-projects:microsphere-spring-parent;io.github.microsphere-projects;microsphere-spring-parent
io.github.microsphere-projects:microsphere-spring-dependencies;io.github.microsphere-projects;microsphere-spring-dependencies
io.github.microsphere-projects:microsphere-spring-guice;io.github.microsphere-projects;microsphere-spring-guice
io.github.microsphere-projects:microsphere-spring-webflux;io.github.microsphere-projects;microsphere-spring-webflux
io.github.microsphere-projects:microsphere-spring;io.github.microsphere-projects;microsphere-spring
io.github.microsphere-projects:microsphere-spring-compatible;io.github.microsphere-projects;microsphere-spring-compatible
org.cryptomator:integrations-mac;org.cryptomator;integrations-mac
com.github.jamesnetherton:zulip-java-client;com.github.jamesnetherton;zulip-java-client
io.gitee.jinceon:simple-ppt-engine;io.gitee.jinceon;simple-ppt-engine
io.github.songyao1987:MinesecToolKit;io.github.songyao1987;MinesecToolKit
org.oxerr.jackson.module:jackson-module-jsr250;org.oxerr.jackson.module;jackson-module-jsr250
com.gitee.l0km:sql2java-redis;com.gitee.l0km;sql2java-redis
com.gitee.l0km:sql2java-pagehelper;com.gitee.l0km;sql2java-pagehelper
com.gitee.l0km:sql2java-observer-cli;com.gitee.l0km;sql2java-observer-cli
com.gitee.l0km:sql2java-observer;com.gitee.l0km;sql2java-observer
com.gitee.l0km:sql2java-maven-plugin;com.gitee.l0km;sql2java-maven-plugin
com.gitee.l0km:sql2java-manager;com.gitee.l0km;sql2java-manager
com.gitee.l0km:sql2java-store;com.gitee.l0km;sql2java-store
com.gitee.l0km:sql2java-generator;com.gitee.l0km;sql2java-generator
com.gitee.l0km:sql2java-excel;com.gitee.l0km;sql2java-excel
com.gitee.l0km:sql2java-base;com.gitee.l0km;sql2java-base
com.gitee.l0km:sql2java-velocity;com.gitee.l0km;sql2java-velocity
com.gitee.l0km:sql2java;com.gitee.l0km;sql2java
org.mybatis.caches:mybatis-redis;org.mybatis.caches;mybatis-redis
org.kie.j2cl.tools.di.ui:generator;org.kie.j2cl.tools.di.ui;generator
org.kie.j2cl.tools.di.ui:core;org.kie.j2cl.tools.di.ui;core
org.kie.j2cl.tools.di:processor;org.kie.j2cl.tools.di;processor
org.kie.j2cl.tools.di:core;org.kie.j2cl.tools.di;core
org.kie.j2cl.tools.di:annotations;org.kie.j2cl.tools.di;annotations
org.kie.j2cl.tools.di:bom;org.kie.j2cl.tools.di;bom
org.kie.j2cl.tools.di:internal-bom;org.kie.j2cl.tools.di;internal-bom
org.kie.j2cl.tools.processors:processors;org.kie.j2cl.tools.processors;processors
org.kie.j2cl.tools.processors:utils;org.kie.j2cl.tools.processors;utils
org.kie.j2cl.tools.processors:annotations;org.kie.j2cl.tools.processors;annotations
org.kie.j2cl.tools.processors:common;org.kie.j2cl.tools.processors;common
org.kie.j2cl.tools.processors:parent;org.kie.j2cl.tools.processors;parent
org.mvnpm.at.lit-labs:ssr-dom-shim;org.mvnpm.at.lit-labs;ssr-dom-shim
org.typelevel:kind-projector_2.13.16;org.typelevel;kind-projector_2.13.16
com.github.nscala-time:nscala-time_2.13;com.github.nscala-time;nscala-time_2.13
com.github.nscala-time:nscala-time_2.12;com.github.nscala-time;nscala-time_2.12
com.github.nscala-time:nscala-time_2.11;com.github.nscala-time;nscala-time_2.11
com.github.nscala-time:nscala-time_3;com.github.nscala-time;nscala-time_3
design.aem:cloning;design.aem;cloning
com.autonomousapps:kotlin-editor-relocated;com.autonomousapps;kotlin-editor-relocated
com.github.wnameless.spring:spring-paper-trail;com.github.wnameless.spring;spring-paper-trail
com.autonomousapps:antlr;com.autonomousapps;antlr
com.gartapar:orientexpress;com.gartapar;orientexpress
org.apache.beam:beam-sdks-java-io-kinesis-expansion-service;org.apache.beam;beam-sdks-java-io-kinesis-expansion-service
org.wartremover:wartremover_2.12.3;org.wartremover;wartremover_2.12.3
org.apache.beam:beam-sdks-java-io-kinesis;org.apache.beam;beam-sdks-java-io-kinesis
io.perfana:event-scheduler;io.perfana;event-scheduler
org.apache.beam:beam-sdks-java-io-amazon-web-services;org.apache.beam;beam-sdks-java-io-amazon-web-services
com.pixelduke:FXSkins;com.pixelduke;FXSkins
org.web3j:android-test-utils;org.web3j;android-test-utils
com.eygraber:uri-kmp-watchosx64;com.eygraber;uri-kmp-watchosx64
com.eygraber:uri-kmp-watchossimulatorarm64;com.eygraber;uri-kmp-watchossimulatorarm64
com.eygraber:uri-kmp-watchosdevicearm64;com.eygraber;uri-kmp-watchosdevicearm64
com.eygraber:uri-kmp-watchosarm64;com.eygraber;uri-kmp-watchosarm64
com.eygraber:uri-kmp-watchosarm32;com.eygraber;uri-kmp-watchosarm32
