net.corda.cordapp.cordapp-configuration:net.corda.cordapp.cordapp-configuration.gradle.plugin;net.corda.cordapp.cordapp-configuration;net.corda.cordapp.cordapp-configuration.gradle.plugin
net.corda:corda-serialization;net.corda;corda-serialization
net.corda:corda-base;net.corda;corda-base
net.corda:corda-application;net.corda;corda-application
net.corda:corda-db-schema;net.corda;corda-db-schema
net.corda:corda-config-schema;net.corda;corda-config-schema
net.corda:corda-crypto-extensions;net.corda;corda-crypto-extensions
net.corda:corda-api;net.corda;corda-api
net.corda:corda-rbac-schema;net.corda;corda-rbac-schema
net.corda:corda-avro-schema;net.corda;corda-avro-schema
net.corda.gradle.plugin:corda-runtime-gradle-plugin;net.corda.gradle.plugin;corda-runtime-gradle-plugin
net.corda.gradle.plugin:net.corda.gradle.plugin.gradle.plugin;net.corda.gradle.plugin;net.corda.gradle.plugin.gradle.plugin
net.corda:corda-membership;net.corda;corda-membership
net.corda:corda-notary-plugin;net.corda;corda-notary-plugin
net.corda:corda-ledger-utxo;net.corda;corda-ledger-utxo
net.corda:corda-ledger-common;net.corda;corda-ledger-common
net.corda:corda-membership-schema;net.corda;corda-membership-schema
com.madgag.totally-trustworthy:widely-used-util_2.12;com.madgag.totally-trustworthy;widely-used-util_2.12
com.madgag.totally-trustworthy:widely-used-util_3;com.madgag.totally-trustworthy;widely-used-util_3
com.madgag.totally-trustworthy:widely-used-util_2.13;com.madgag.totally-trustworthy;widely-used-util_2.13
io.github.dingyi222666:treeview;io.github.dingyi222666;treeview
eu.benschroeder:assertj-extension;eu.benschroeder;assertj-extension
io.quarkiverse.langchain4j:quarkus-langchain4j-ollama-devservices;io.quarkiverse.langchain4j;quarkus-langchain4j-ollama-devservices
eu.benschroeder:oss-parent;eu.benschroeder;oss-parent
org.webjars.npm:bourbon;org.webjars.npm;bourbon
tech.ydb.dialects:liquibase-ydb-dialect;tech.ydb.dialects;liquibase-ydb-dialect
com.yeepay.yop.sdk:yop-java-sdk-test;com.yeepay.yop.sdk;yop-java-sdk-test
com.yeepay.yop.sdk:yop-java-sdk-parent;com.yeepay.yop.sdk;yop-java-sdk-parent
com.yeepay.yop.sdk:yop-java-sdk;com.yeepay.yop.sdk;yop-java-sdk
com.yeepay.yop.sdk:yop-java-sdk-crypto-gm-base;com.yeepay.yop.sdk;yop-java-sdk-crypto-gm-base
com.yeepay.yop.sdk:yop-java-sdk-okhttp;com.yeepay.yop.sdk;yop-java-sdk-okhttp
com.yeepay.yop.sdk:yop-java-sdk-invoke-api;com.yeepay.yop.sdk;yop-java-sdk-invoke-api
com.yeepay.yop.sdk:yop-java-sdk-crypto-api;com.yeepay.yop.sdk;yop-java-sdk-crypto-api
com.yeepay.yop.sdk:yop-java-sdk-invoke-base;com.yeepay.yop.sdk;yop-java-sdk-invoke-base
com.yeepay.yop.sdk:yop-java-sdk-api;com.yeepay.yop.sdk;yop-java-sdk-api
com.yeepay.yop.sdk:yop-java-sdk-crypto-inter;com.yeepay.yop.sdk;yop-java-sdk-crypto-inter
com.yeepay.yop.sdk:yop-java-sdk-crypto-gm;com.yeepay.yop.sdk;yop-java-sdk-crypto-gm
com.yeepay.yop.sdk:yop-java-sdk-apache;com.yeepay.yop.sdk;yop-java-sdk-apache
com.yeepay.yop.sdk:yop-java-sdk-base;com.yeepay.yop.sdk;yop-java-sdk-base
eu.prismacapacity:aws-cloud-meta-spring-boot-starter;eu.prismacapacity;aws-cloud-meta-spring-boot-starter
eu.prismacapacity:aws-cloud-meta;eu.prismacapacity;aws-cloud-meta
eu.prismacapacity:aws-cloud-meta-core;eu.prismacapacity;aws-cloud-meta-core
eu.prismacapacity:aws-cloud-meta-spring-ec2;eu.prismacapacity;aws-cloud-meta-spring-ec2
eu.prismacapacity:aws-cloud-meta-spring-boot-autoconfigure;eu.prismacapacity;aws-cloud-meta-spring-boot-autoconfigure
eu.prismacapacity:aws-cloud-meta-spring-ecs;eu.prismacapacity;aws-cloud-meta-spring-ecs
com.brihaspathee.artemis:artemis-library;com.brihaspathee.artemis;artemis-library
com.rws.lt.lc.extensibility.security:language-cloud-extensibility-security;com.rws.lt.lc.extensibility.security;language-cloud-extensibility-security
camp.xit.jacod:jacod-provider-csv;camp.xit.jacod;jacod-provider-csv
camp.xit.jacod:jacod-core-spring-cache;camp.xit.jacod;jacod-core-spring-cache
camp.xit.jacod:jacod-provider-proxy;camp.xit.jacod;jacod-provider-proxy
camp.xit.jacod:jacod-core;camp.xit.jacod;jacod-core
camp.xit.jacod:jacod-bom;camp.xit.jacod;jacod-bom
camp.xit.jacod:jacod-core-cache2k;camp.xit.jacod;jacod-core-cache2k
camp.xit.jacod:jacod-core-jcache;camp.xit.jacod;jacod-core-jcache
camp.xit.jacod:jacod-provider-gsheet;camp.xit.jacod;jacod-provider-gsheet
camp.xit.jacod:jacod-providers;camp.xit.jacod;jacod-providers
camp.xit.jacod:jacod-provider-xlsx;camp.xit.jacod;jacod-provider-xlsx
camp.xit.jacod:jacod;camp.xit.jacod;jacod
io.github.md2conf:md2conf-maven-plugin;io.github.md2conf;md2conf-maven-plugin
io.github.md2conf:md2conf-jar;io.github.md2conf;md2conf-jar
io.github.md2conf:md2conf-command;io.github.md2conf;md2conf-command
io.github.md2conf:confluence-client;io.github.md2conf;confluence-client
io.github.md2conf:converter-view2md;io.github.md2conf;converter-view2md
io.github.md2conf:converter-md2wiki;io.github.md2conf;converter-md2wiki
io.github.md2conf:converter-copying;io.github.md2conf;converter-copying
io.github.md2conf:converter-noop;io.github.md2conf;converter-noop
io.github.md2conf:title-processor;io.github.md2conf;title-processor
io.github.md2conf:markdown-formatter;io.github.md2conf;markdown-formatter
io.github.md2conf:flexmark-ext-plantuml-code-macro;io.github.md2conf;flexmark-ext-plantuml-code-macro
io.github.md2conf:flexmark-ext-local-image;io.github.md2conf;flexmark-ext-local-image
io.github.md2conf:flexmark-ext-local-attachment;io.github.md2conf;flexmark-ext-local-attachment
io.github.md2conf:flexmark-ext-fenced-code-block;io.github.md2conf;flexmark-ext-fenced-code-block
io.github.md2conf:flexmark-ext-curly-braced-escaper;io.github.md2conf;flexmark-ext-curly-braced-escaper
io.github.md2conf:flexmark-ext-crosspage-link;io.github.md2conf;flexmark-ext-crosspage-link
io.github.md2conf:converter-common;io.github.md2conf;converter-common
io.github.md2conf:flexmark-ext-confluence-macro;io.github.md2conf;flexmark-ext-confluence-macro
io.github.md2conf:converters;io.github.md2conf;converters
io.github.md2conf:file-indexer;io.github.md2conf;file-indexer
io.github.md2conf:confluence-content-model;io.github.md2conf;confluence-content-model
io.github.md2conf:md2conf-parent;io.github.md2conf;md2conf-parent
com.colisweb:scala-distances-core_2.13;com.colisweb;scala-distances-core_2.13
com.colisweb:scala-distances-provider-google_2.13;com.colisweb;scala-distances-provider-google_2.13
com.colisweb:scala-distances-cache-redis_2.13;com.colisweb;scala-distances-cache-redis_2.13
com.colisweb:scala-distances-memory-guava_2.13;com.colisweb;scala-distances-memory-guava_2.13
com.colisweb:scala-distances-provider-here_2.13;com.colisweb;scala-distances-provider-here_2.13
org.openurp.std:openurp-std-core;org.openurp.std;openurp-std-core
com.github.cafapi.plugins.docker.versions:docker-versions-maven-plugin-usage;com.github.cafapi.plugins.docker.versions;docker-versions-maven-plugin-usage
com.github.cafapi.plugins.docker.versions:docker-versions-maven-plugin;com.github.cafapi.plugins.docker.versions;docker-versions-maven-plugin
com.github.cafapi.plugins.docker.versions:docker-versions;com.github.cafapi.plugins.docker.versions;docker-versions
com.cashfree.pg:analytics;com.cashfree.pg;analytics
com.ruimo:scoins_2.11;com.ruimo;scoins_2.11
com.github.jobservice.workers.batch:worker-batch;com.github.jobservice.workers.batch;worker-batch
com.github.jobservice.workers.batch:worker-batch-extensibility;com.github.jobservice.workers.batch;worker-batch-extensibility
com.github.jobservice.workers.batch:worker-batch-framework;com.github.jobservice.workers.batch;worker-batch-framework
com.github.jobservice.workers.batch:worker-batch-aggregator;com.github.jobservice.workers.batch;worker-batch-aggregator
com.github.jobservice.workers.batch:worker-batch-shared;com.github.jobservice.workers.batch;worker-batch-shared
com.github.jobservice.workers.batch:worker-batch-testing;com.github.jobservice.workers.batch;worker-batch-testing
io.devbench.uibuilder:archetypes;io.devbench.uibuilder;archetypes
io.devbench.uibuilder.archetypes:uibuilder-quickstart-archetype;io.devbench.uibuilder.archetypes;uibuilder-quickstart-archetype
org.treblereel.j2cl.processors:processors;org.treblereel.j2cl.processors;processors
org.treblereel.j2cl.processors:utils;org.treblereel.j2cl.processors;utils
org.treblereel.j2cl.processors:annotations;org.treblereel.j2cl.processors;annotations
org.treblereel.j2cl.processors:common;org.treblereel.j2cl.processors;common
org.treblereel.j2cl.processors:parent;org.treblereel.j2cl.processors;parent
site.sorghum.anno:anno-admin-db-entity-mybatis-flex;site.sorghum.anno;anno-admin-db-entity-mybatis-flex
site.sorghum.anno:anno-admin-plugins;site.sorghum.anno;anno-admin-plugins
site.sorghum.anno:anno-admin-cache-caffeine;site.sorghum.anno;anno-admin-cache-caffeine
site.sorghum.anno:anno-admin-platform;site.sorghum.anno;anno-admin-platform
site.sorghum.anno:anno-admin-x-file-storage;site.sorghum.anno;anno-admin-x-file-storage
site.sorghum.anno:anno-admin-jdialects;site.sorghum.anno;anno-admin-jdialects
site.sorghum.anno:anno-admin-online-meta;site.sorghum.anno;anno-admin-online-meta
site.sorghum.anno:anno-admin-db-entity-common;site.sorghum.anno;anno-admin-db-entity-common
site.sorghum.anno:anno-admin;site.sorghum.anno;anno-admin
site.sorghum.anno:anno-admin-ddl;site.sorghum.anno;anno-admin-ddl
site.sorghum.anno:anno-admin-javascript;site.sorghum.anno;anno-admin-javascript
io.devbench.uibuilder.components:uibuilder-window;io.devbench.uibuilder.components;uibuilder-window
io.devbench.uibuilder.data:uibuilder-spring-jpa;io.devbench.uibuilder.data;uibuilder-spring-jpa
site.sorghum.anno:anno-admin-db-entity-mybatis-plus;site.sorghum.anno;anno-admin-db-entity-mybatis-plus
io.devbench.uibuilder.core:uibuilder-test;io.devbench.uibuilder.core;uibuilder-test
io.devbench.uibuilder.components:uibuilder-master-detail-controller;io.devbench.uibuilder.components;uibuilder-master-detail-controller
io.devbench.uibuilder.data:uibuilder-data-collection;io.devbench.uibuilder.data;uibuilder-data-collection
site.sorghum.anno:anno-admin-powerjob-server;site.sorghum.anno;anno-admin-powerjob-server
