com.exactpro.th2:grpc-sim-template;com.exactpro.th2;grpc-sim-template
io.rainfall:rainfall-web;io.rainfall;rainfall-web
io.rainfall:rainfall-redis;io.rainfall;rainfall-redis
io.rainfall:rainfall-cassandra;io.rainfall;rainfall-cassandra
io.rainfall:rainfall-ehcache;io.rainfall;rainfall-ehcache
io.rainfall:rainfall-jcache;io.rainfall;rainfall-jcache
io.rainfall:rainfall;io.rainfall;rainfall
io.rainfall:rainfall-core;io.rainfall;rainfall-core
com.infobip:infobip-jackson-extension-spring-boot-starter;com.infobip;infobip-jackson-extension-spring-boot-starter
com.infobip:infobip-jackson-extension-module;com.infobip;infobip-jackson-extension-module
com.infobip:infobip-jackson-extension-api;com.infobip;infobip-jackson-extension-api
com.infobip:infobip-jackson-extension;com.infobip;infobip-jackson-extension
io.github.wikimore:common;io.github.wikimore;common
io.github.fern-api:test;io.github.fern-api;test
io.github.chochanaresh.videoEditer:videoEditer;io.github.chochanaresh.videoEditer;videoEditer
com.commercetools.sdk:okhttp-client;com.commercetools.sdk;okhttp-client
dev.otbe:gitlab-ci-constructs;dev.otbe;gitlab-ci-constructs
dev.otbe:gitlab-ci;dev.otbe;gitlab-ci
dev.otbe:gitlab-ci-core;dev.otbe;gitlab-ci-core
dev.otbe:gitlab-ci-maven-plugin;dev.otbe;gitlab-ci-maven-plugin
dev.otbe:gitlab-ci-dsl;dev.otbe;gitlab-ci-dsl
com.rainte:nova-mate-config;com.rainte;nova-mate-config
com.rainte:nova-gateway;com.rainte;nova-gateway
com.rainte:nova-mate;com.rainte;nova-mate
com.rainte:nova-modules;com.rainte;nova-modules
com.rainte:nova-api;com.rainte;nova-api
com.rainte:nova-mate-mybatis;com.rainte;nova-mate-mybatis
com.rainte:nova-mate-feign;com.rainte;nova-mate-feign
com.rainte:nova-mate-wechat;com.rainte;nova-mate-wechat
com.rainte:nova-api-feign-demo;com.rainte;nova-api-feign-demo
com.rainte:nova-api-dubbo-demo;com.rainte;nova-api-dubbo-demo
com.rainte:nova-mate-core;com.rainte;nova-mate-core
com.rainte:nova-mate-sentinel;com.rainte;nova-mate-sentinel
com.rainte:nova;com.rainte;nova
com.rainte:nova-modules-demo;com.rainte;nova-modules-demo
com.rainte:nova-mate-web;com.rainte;nova-mate-web
com.rainte:nova-mate-dubbo;com.rainte;nova-mate-dubbo
io.zeko:zeko-validator;io.zeko;zeko-validator
com.gradle:sbt-gradle-enterprise724599971;com.gradle;sbt-gradle-enterprise
com.xeonyu:-location;com.xeonyu;-location
io.github:netlinksdk;io.github;netlinksdk
io.github.xiananliu:liquibase-ext-hive2;io.github.xiananliu;liquibase-ext-hive2
com.clevertap.android:clevertap-xiaomi-sdk;com.clevertap.android;clevertap-xiaomi-sdk
de.code-sourcery.maven.buildprofiler:maven-build-profiler-war;de.code-sourcery.maven.buildprofiler;maven-build-profiler-war
de.code-sourcery.maven.buildprofiler:maven-build-profiler-standalone;de.code-sourcery.maven.buildprofiler;maven-build-profiler-standalone
de.code-sourcery.maven.buildprofiler:maven-build-profiler-server;de.code-sourcery.maven.buildprofiler;maven-build-profiler-server
de.code-sourcery.maven.buildprofiler:maven-build-profiler-server-common;de.code-sourcery.maven.buildprofiler;maven-build-profiler-server-common
de.code-sourcery.maven.buildprofiler:maven-build-profiler-extension;de.code-sourcery.maven.buildprofiler;maven-build-profiler-extension
de.code-sourcery.maven.buildprofiler:maven-build-profiler-shared;de.code-sourcery.maven.buildprofiler;maven-build-profiler-shared
de.code-sourcery.maven.buildprofiler:maven-build-profiler-parent;de.code-sourcery.maven.buildprofiler;maven-build-profiler-parent
com.groupcdg.arcmutate:arcmutate-base-parent;com.groupcdg.arcmutate;arcmutate-base-parent
com.groupcdg.arcmutate:mutators-verification;com.groupcdg.arcmutate;mutators-verification
com.groupcdg.arcmutate:base;com.groupcdg.arcmutate;base
io.github.xiananliu:liquibase-ext-hbase;io.github.xiananliu;liquibase-ext-hbase
io.github.kevinnzou:compose-progressIndicator-multiplatform;io.github.kevinnzou;compose-progressIndicator-multiplatform
io.github.kevinnzou:compose-progressIndicator-multiplatform-iosx64;io.github.kevinnzou;compose-progressIndicator-multiplatform-iosx64
io.github.kevinnzou:compose-progressIndicator-multiplatform-iossimulatorarm64;io.github.kevinnzou;compose-progressIndicator-multiplatform-iossimulatorarm64
io.github.kevinnzou:compose-progressIndicator-multiplatform-iosarm64;io.github.kevinnzou;compose-progressIndicator-multiplatform-iosarm64
io.github.kevinnzou:compose-progressIndicator-multiplatform-desktop;io.github.kevinnzou;compose-progressIndicator-multiplatform-desktop
io.github.kevinnzou:compose-progressIndicator-multiplatform-android;io.github.kevinnzou;compose-progressIndicator-multiplatform-android
de.gwasch.code.escframework:escifgen;de.gwasch.code.escframework;escifgen
org.pytorch:pytorch_android_torchvision;org.pytorch;pytorch_android_torchvision
org.pytorch:pytorch_android;org.pytorch;pytorch_android
net.codeedu:sqlite3-native-library;net.codeedu;sqlite3-native-library
com.kotlinx:yutils;com.kotlinx;yutils
com.tradplusad:baidu-ads;com.tradplusad;baidu-ads
com.gitee.strongfu:maven-test;com.gitee.strongfu;maven-test
com.xuie0000:util-tools;com.xuie0000;util-tools
io.github.luisgamas.simplecalendar:simplecalendar;io.github.luisgamas.simplecalendar;simplecalendar
com.hncfx:utils;com.hncfx;utils
com.kinnarastudio:kinnara-idempiere-webservice;com.kinnarastudio;kinnara-idempiere-webservice
