io.kraken.client:client;io.kraken.client;client
de.julielab:julielab-elastic-query-components;de.julielab;julielab-elastic-query-components
org.webjars.bowergithub.jquery:jquery;org.webjars.bowergithub.jquery;jquery
com.deeplyinc.listen.cloud.sdk:listen;com.deeplyinc.listen.cloud.sdk;listen
io.github.astrapi69:xml-extensions;io.github.astrapi69;xml-extensions
software.amazon.disco:disco-java-agent-web-plugin;software.amazon.disco;disco-java-agent-web-plugin
software.amazon.disco:disco-java-agent-sql-plugin;software.amazon.disco;disco-java-agent-sql-plugin
software.amazon.disco:disco-java-agent-kotlin-plugin;software.amazon.disco;disco-java-agent-kotlin-plugin
software.amazon.disco:disco-java-agent-aws-plugin;software.amazon.disco;disco-java-agent-aws-plugin
software.amazon.disco:disco-java-agent-aws-api;software.amazon.disco;disco-java-agent-aws-api
software.amazon.disco:disco-java-agent-plugin-api;software.amazon.disco;disco-java-agent-plugin-api
software.amazon.disco:disco-java-agent-inject-api;software.amazon.disco;disco-java-agent-inject-api
software.amazon.disco:disco-java-agent-core;software.amazon.disco;disco-java-agent-core
software.amazon.disco:disco-java-agent-api;software.amazon.disco;disco-java-agent-api
software.amazon.disco:disco-java-agent;software.amazon.disco;disco-java-agent
software.amazon.disco:disco-toolkit-bom;software.amazon.disco;disco-toolkit-bom
software.amazon.disco:disco-java-agent-web;software.amazon.disco;disco-java-agent-web
software.amazon.disco:disco-java-agent-sql;software.amazon.disco;disco-java-agent-sql
software.amazon.disco:disco-java-agent-kotlin;software.amazon.disco;disco-java-agent-kotlin
software.amazon.disco:disco-java-agent-instrumentation-preprocess;software.amazon.disco;disco-java-agent-instrumentation-preprocess
software.amazon.disco:disco-java-agent-aws;software.amazon.disco;disco-java-agent-aws
com.github.fit51:reactiveconfig-typesafe-zio_2.12;com.github.fit51;reactiveconfig-typesafe-zio_2.12
com.github.fit51:reactiveconfig-typesafe-ce_2.12;com.github.fit51;reactiveconfig-typesafe-ce_2.12
com.github.fit51:reactiveconfig-etcd-ce_2.12;com.github.fit51;reactiveconfig-etcd-ce_2.12
com.github.fit51:reactiveconfig-etcd-zio_2.12;com.github.fit51;reactiveconfig-etcd-zio_2.12
com.github.fit51:reactiveconfig-typesafe_2.12;com.github.fit51;reactiveconfig-typesafe_2.12
com.github.fit51:reactiveconfig-etcd_2.12;com.github.fit51;reactiveconfig-etcd_2.12
com.github.fit51:reactiveconfig-core-zio_2.12;com.github.fit51;reactiveconfig-core-zio_2.12
com.github.fit51:reactiveconfig-core-ce_2.12;com.github.fit51;reactiveconfig-core-ce_2.12
com.github.fit51:reactiveconfig-circe_2.12;com.github.fit51;reactiveconfig-circe_2.12
com.github.fit51:reactiveconfig-core_2.12;com.github.fit51;reactiveconfig-core_2.12
com.lightningkite.khrysalis:intellij-plugin;com.lightningkite.khrysalis;intellij-plugin
eu.eu-emi.security:canl;eu.eu-emi.security;canl
io.github.dkqa:ui-testing-navigator;io.github.dkqa;ui-testing-navigator
org.openrndr.extra:orx-jvm;org.openrndr.extra;orx-jvm
org.openrndr.extra:orx;org.openrndr.extra;orx
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-apache-pulsar-2.8;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-apache-pulsar-2.8
io.opentelemetry.javaagent.instrumentation:opentelemetry-javaagent-apache-camel-2.20;io.opentelemetry.javaagent.instrumentation;opentelemetry-javaagent-apache-camel-2.20
org.apache.maven:plexus-utils;org.apache.maven;plexus-utils
io.github.changebooks:changebook-elasticsearch;io.github.changebooks;changebook-elasticsearch
us.ihmc:ihmc-high-level-behaviors-javafx;us.ihmc;ihmc-high-level-behaviors-javafx
us.ihmc:ihmc-perception-visualizers;us.ihmc;ihmc-perception-visualizers
us.ihmc:ihmc-perception-openpnp;us.ihmc;ihmc-perception-openpnp
us.ihmc:ihmc-perception-javacv;us.ihmc;ihmc-perception-javacv
us.ihmc:ihmc-perception-bytedeco;us.ihmc;ihmc-perception-bytedeco
cc.carm.lib:easysql-hikaricp;cc.carm.lib;easysql-hikaricp
cc.carm.lib:easysql-beecp;cc.carm.lib;easysql-beecp
cc.carm.lib:easysql-impl;cc.carm.lib;easysql-impl
cc.carm.lib:easysql-api;cc.carm.lib;easysql-api
cc.carm.lib:easysql-parent;cc.carm.lib;easysql-parent
io.github.loom:loom.json.jackson;io.github.loom;loom.json.jackson
io.github.loom:loom.eventsourcing.abstraction;io.github.loom;loom.eventsourcing.abstraction
io.github.loom:loom.messaging.abstraction;io.github.loom;loom.messaging.abstraction
io.github.loom:loom.json.abstraction;io.github.loom;loom.json.abstraction
io.github.loom:loom.eventsourcing.type;io.github.loom;loom.eventsourcing.type
io.github.loom:loom.type;io.github.loom;loom.type
io.github.loom:loom.messaging.contract;io.github.loom;loom.messaging.contract
io.github.loom:loom.eventsourcing.contract;io.github.loom;loom.eventsourcing.contract
team.duckie.quack:quackquack-core-internal;team.duckie.quack;quackquack-core-internal
dev.maxmelnyk:openai-scala_2.12;dev.maxmelnyk;openai-scala_2.12
dev.maxmelnyk:openai-scala_2.13;dev.maxmelnyk;openai-scala_2.13
dev.maxmelnyk:openai-scala_3;dev.maxmelnyk;openai-scala_3
org.connectorio.openapi.generators:java-jaxrs-client;org.connectorio.openapi.generators;java-jaxrs-client
org.connectorio.openapi.generators:java-basic-native;org.connectorio.openapi.generators;java-basic-native
org.connectorio.openapi.generators:parent;org.connectorio.openapi.generators;parent
org.connectorio.openapi:generators;org.connectorio.openapi;generators
team.duckie.quack:quackquack-core-aide-annotation-internal;team.duckie.quack;quackquack-core-aide-annotation-internal
org.webjars.npm:angular__compiler;org.webjars.npm;angular__compiler
org.webjars.npm:tiny-glob;org.webjars.npm;tiny-glob
org.jahia.archetypes:jahia-app-archetype;org.jahia.archetypes;jahia-app-archetype
org.jahia.archetypes:jahia-profileModule-archetype;org.jahia.archetypes;jahia-profileModule-archetype
no.digipost:jaxb-resolver-com.sun.xml.bind;no.digipost;jaxb-resolver-com.sun.xml.bind
no.digipost:jaxb-resolver-com.sun.xml.bind-bom;no.digipost;jaxb-resolver-com.sun.xml.bind-bom
no.digipost:jaxb-resolver-com.sun.xml.bind-parent;no.digipost;jaxb-resolver-com.sun.xml.bind-parent
io.github.yyxxgame.sdk:ylink-sdk-ktx;io.github.yyxxgame.sdk;ylink-sdk-ktx
org.ximinghui:spring-webclient-experimental;org.ximinghui;spring-webclient-experimental
