io.github.adnanomerovic:toaster-example-library;io.github.adnanomerovic;toaster-example-library
com.farao-community.farao:farao-rao-commons;com.farao-community.farao;farao-rao-commons
org.webjars.bowergithub.chniter:bstreeview;org.webjars.bowergithub.chniter;bstreeview
com.deepleaper:openinstall;com.deepleaper;openinstall
de.renebergelt.juitest:juitest-host;de.renebergelt.juitest;juitest-host
com.gitee.practice-pine:appoint-api-spring-boot-start;com.gitee.practice-pine;appoint-api-spring-boot-start
io.geewit.weixin:api-common;io.geewit.weixin;api-common
io.geewit.weixin:api-mp;io.geewit.weixin;api-mp
io.geewit.weixin:api-sns;io.geewit.weixin;api-sns
dev.icerock.moko:graphics-wasm32;dev.icerock.moko;graphics-wasm32
dev.icerock.moko:graphics-mingwx86;dev.icerock.moko;graphics-mingwx86
dev.icerock.moko:graphics-linuxarm32hfp;dev.icerock.moko;graphics-linuxarm32hfp
hu.perit.spvitamin:spvitamin-spring-cloud-ribbon;hu.perit.spvitamin;spvitamin-spring-cloud-ribbon
hu.perit.spvitamin:spvitamin-spring-cloud-zuul;hu.perit.spvitamin;spvitamin-spring-cloud-zuul
dev.icerock.moko:graphics-linuxmipsel32;dev.icerock.moko;graphics-linuxmipsel32
dev.icerock.moko:graphics-linuxmips32;dev.icerock.moko;graphics-linuxmips32
com.panosen:sample-maven-plugin;com.panosen;sample-maven-plugin
com.intel.analytics.zoo:analytics-zoo-bigdl_0.13.0-spark_2.2.1;com.intel.analytics.zoo;analytics-zoo-bigdl_0.13.0-spark_2.2.1
com.intel.analytics.zoo:analytics-zoo-bigdl_0.13.0-spark_2.1.1;com.intel.analytics.zoo;analytics-zoo-bigdl_0.13.0-spark_2.1.1
io.github.frawa:typed-json_2.13;io.github.frawa;typed-json_2.13
io.github.frawa:typed-json-parser-zio_sjs1_2.13;io.github.frawa;typed-json-parser-zio_sjs1_2.13
io.github.frawa:typed-json_sjs1_2.13;io.github.frawa;typed-json_sjs1_2.13
io.github.frawa:typed-json-parser_sjs1_2.13;io.github.frawa;typed-json-parser_sjs1_2.13
io.github.frawa:typed-json-parser-zio_2.13;io.github.frawa;typed-json-parser-zio_2.13
io.github.frawa:typed-json-js-export_sjs1_2.13;io.github.frawa;typed-json-js-export_sjs1_2.13
io.github.frawa:typed-json-macros_2.13;io.github.frawa;typed-json-macros_2.13
io.github.frawa:typed-json-macros_sjs1_2.13;io.github.frawa;typed-json-macros_sjs1_2.13
io.github.frawa:typed-json-parser_2.13;io.github.frawa;typed-json-parser_2.13
com.immomo.cosmos.mediax:beautysdk_interact;com.immomo.cosmos.mediax;beautysdk_interact
com.immomo.cosmos.mediax:beautysdk_basic;com.immomo.cosmos.mediax;beautysdk_basic
com.pettyfox:java-suit-utils;com.pettyfox;java-suit-utils
com.pettyfox:java-suit-commons;com.pettyfox;java-suit-commons
