com.w2v4:vertx-lang-clojure-parent;com.w2v4;vertx-lang-clojure-parent
org.softcake.cherry:cherry-core;org.softcake.cherry;cherry-core
com.rackspace.cloud.api:wadl-tools_2.11;com.rackspace.cloud.api;wadl-tools_2.11
com.rackspace.cloud.api:wadl-tools_2.10;com.rackspace.cloud.api;wadl-tools_2.10
com.rackspace.cloud.api:wadl-tools-aggregator;com.rackspace.cloud.api;wadl-tools-aggregator
org.wso2.performance.apim:performance-apim-distribution;org.wso2.performance.apim;performance-apim-distribution
org.wso2.performance.apim:performance-apim;org.wso2.performance.apim;performance-apim
io.shardingjdbc:sharding-jdbc-opentracing;io.shardingjdbc;sharding-jdbc-opentracing
io.shardingjdbc:sharding-jdbc-orchestration-spring-boot-starter;io.shardingjdbc;sharding-jdbc-orchestration-spring-boot-starter
io.shardingjdbc:sharding-jdbc-orchestration-spring-namespace;io.shardingjdbc;sharding-jdbc-orchestration-spring-namespace
io.shardingjdbc:sharding-jdbc-orchestration-spring;io.shardingjdbc;sharding-jdbc-orchestration-spring
io.shardingjdbc:sharding-jdbc-orchestration;io.shardingjdbc;sharding-jdbc-orchestration
io.shardingjdbc:sharding-jdbc-transaction-async-job;io.shardingjdbc;sharding-jdbc-transaction-async-job
io.shardingjdbc:sharding-jdbc-transaction;io.shardingjdbc;sharding-jdbc-transaction
io.shardingjdbc:sharding-jdbc-transaction-storage;io.shardingjdbc;sharding-jdbc-transaction-storage
io.shardingjdbc:sharding-jdbc-transaction-parent;io.shardingjdbc;sharding-jdbc-transaction-parent
io.shardingjdbc:sharding-jdbc-core-spring-boot-starter;io.shardingjdbc;sharding-jdbc-core-spring-boot-starter
io.shardingjdbc:sharding-jdbc-core-spring-namespace;io.shardingjdbc;sharding-jdbc-core-spring-namespace
io.shardingjdbc:sharding-jdbc-core-spring;io.shardingjdbc;sharding-jdbc-core-spring
io.shardingjdbc:sharding-jdbc-core;io.shardingjdbc;sharding-jdbc-core
io.shardingjdbc:sharding-jdbc;io.shardingjdbc;sharding-jdbc
com.typesafe.genjavadoc:genjavadoc-plugin_2.13.0-M3;com.typesafe.genjavadoc;genjavadoc-plugin_2.13.0-M3
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.5;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.5
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.4;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.4
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.3;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.3
com.sksamuel.avro4s:sbt-avro4s-1555225206;com.sksamuel.avro4s;sbt-avro4s
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.2;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.2
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.1;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.1
com.typesafe.genjavadoc:genjavadoc-plugin_2.11.0;com.typesafe.genjavadoc;genjavadoc-plugin_2.11.0
com.github.tkrs:gcs-scala-core_2.12;com.github.tkrs;gcs-scala-core_2.12
com.github.tkrs:gcs-scala-core_2.11;com.github.tkrs;gcs-scala-core_2.11
com.stripe:dagon_sjs0.6_2.10;com.stripe;dagon_sjs0.6_2.10
com.stripe:dagon-core_2.10;com.stripe;dagon-core_2.10
