com.ondevio:json-view-definition;com.ondevio;json-view-definition
me.scutum:scutum-core;me.scutum;scutum-core
org.webjars.npm:github-com-danny-andrews-riot-redux;org.webjars.npm;github-com-danny-andrews-riot-redux
org.jetbrains.spek:spek-data-driven-extension;org.jetbrains.spek;spek-data-driven-extension
org.jetbrains.spek:spek-subject-extension;org.jetbrains.spek;spek-subject-extension
org.jetbrains.spek:spek-junit-platform-engine;org.jetbrains.spek;spek-junit-platform-engine
org.jetbrains.spek:spek-api;org.jetbrains.spek;spek-api
org.webjars.npm:react-highlighter;org.webjars.npm;react-highlighter
org.apache.cxf.dosgi.systests:cxf-dosgi-itests;org.apache.cxf.dosgi.systests;cxf-dosgi-itests
org.apache.cxf.dosgi.systests:cxf-dosgi-itests-multibundle;org.apache.cxf.dosgi.systests;cxf-dosgi-itests-multibundle
org.apache.cxf.dosgi:cxf-dosgi-multibundle-distribution;org.apache.cxf.dosgi;cxf-dosgi-multibundle-distribution
org.apache.cxf.dosgi:cxf-dosgi;org.apache.cxf.dosgi;cxf-dosgi
org.apache.cxf.dosgi:cxf-dosgi-distribution-parent;org.apache.cxf.dosgi;cxf-dosgi-distribution-parent
org.apache.cxf.dosgi:cxf-dosgi-samples;org.apache.cxf.dosgi;cxf-dosgi-samples
org.apache.cxf.dosgi:cxf-dosgi-samples-repository;org.apache.cxf.dosgi;cxf-dosgi-samples-repository
org.apache.cxf.dosgi:cxf-dosgi-repository;org.apache.cxf.dosgi;cxf-dosgi-repository
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-ssl-intent;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-ssl-intent
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-ssl-parent;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-ssl-parent
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-security-filter;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-security-filter
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-soap-client;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-soap-client
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-soap-impl;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-soap-impl
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-soap-api;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-soap-api
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-soap-parent;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-soap-parent
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-rest-client;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-rest-client
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-rest-impl-jackson;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-rest-impl-jackson
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-rest-impl;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-rest-impl
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-rest-api;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-rest-api
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-rest-parent;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-rest-parent
org.apache.cxf.dosgi.samples:cxf-dosgi-samples-parent;org.apache.cxf.dosgi.samples;cxf-dosgi-samples-parent
org.apache.cxf.dosgi:cxf-dosgi-provider-rs;org.apache.cxf.dosgi;cxf-dosgi-provider-rs
org.apache.cxf.dosgi:cxf-dosgi-provider-ws;org.apache.cxf.dosgi;cxf-dosgi-provider-ws
org.apache.cxf.dosgi:cxf-dosgi-common;org.apache.cxf.dosgi;cxf-dosgi-common
org.apache.cxf.dosgi:cxf-dosgi-decorator;org.apache.cxf.dosgi;cxf-dosgi-decorator
org.apache.cxf.dosgi:cxf-dosgi-parent;org.apache.cxf.dosgi;cxf-dosgi-parent
org.apache.cxf.dosgi:cxf-dosgi-main;org.apache.cxf.dosgi;cxf-dosgi-main
com.chenxiaojie:http-invoker-parent;com.chenxiaojie;http-invoker-parent
net.sf.jabb:jabb-core-java8;net.sf.jabb;jabb-core-java8
org.nicosoft.config:config-client;org.nicosoft.config;config-client
org.rouplex:rouplex-niossl-parent;org.rouplex;rouplex-niossl-parent
org.rouplex:rouplex-niossl;org.rouplex;rouplex-niossl
org.scalikejdbc:scalikejdbc-async-play-plugin_2.10;org.scalikejdbc;scalikejdbc-async-play-plugin_2.10
org.scalikejdbc:scalikejdbc-async-play-plugin_2.11;org.scalikejdbc;scalikejdbc-async-play-plugin_2.11
org.graphast:graphast-core;org.graphast;graphast-core
com.stripe:stripe-android-pay;com.stripe;stripe-android-pay
org.webjars.bower:multifile;org.webjars.bower;multifile
com.shoutpoint:api-v1;com.shoutpoint;api-v1
com.github.ktakagaki.breeze:breeze_2.12;com.github.ktakagaki.breeze;breeze_2.12
com.github.ktakagaki.breeze:breeze-parent_2.12;com.github.ktakagaki.breeze;breeze-parent_2.12
com.github.ktakagaki.breeze:breeze-macros_2.12;com.github.ktakagaki.breeze;breeze-macros_2.12
com.github.ktakagaki.breeze:breeze-natives_2.12;com.github.ktakagaki.breeze;breeze-natives_2.12
com.github.thonill:XMLReader;com.github.thonill;XMLReader
com.varwise:scala-util_2.12;com.varwise;scala-util_2.12
org.webjars.npm:github-com-novnc-noVNC;org.webjars.npm;github-com-novnc-noVNC
org.opendaylight.opflex:agent-ovs;org.opendaylight.opflex;agent-ovs
cn.yerl.android:promise-http;cn.yerl.android;promise-http
de.is24:jest4s_2.12;de.is24;jest4s_2.12
com.github.agfsapi4j:agfsapi4j;com.github.agfsapi4j;agfsapi4j
io.radicalbit:flink-streaming-spec_2.11;io.radicalbit;flink-streaming-spec_2.11
io.radicalbit:flink-streaming-spec_2.10;io.radicalbit;flink-streaming-spec_2.10
org.webjars.npm:dbmdz__mirador-piwiktracking;org.webjars.npm;dbmdz__mirador-piwiktracking
org.tomitribe:sheldon-corejava-commands;org.tomitribe;sheldon-corejava-commands
org.tomitribe:sheldon-sample-ear;org.tomitribe;sheldon-sample-ear
org.tomitribe:sheldon-sample-ejb;org.tomitribe;sheldon-sample-ejb
org.tomitribe:sheldon-examples;org.tomitribe;sheldon-examples
org.tomitribe:sheldon-rar;org.tomitribe;sheldon-rar
org.tomitribe:sheldon-impl;org.tomitribe;sheldon-impl
org.tomitribe:sheldon-api;org.tomitribe;sheldon-api
org.tomitribe:sheldon-parent;org.tomitribe;sheldon-parent
com.github.fmcarvalho:htmlflow;com.github.fmcarvalho;htmlflow
org.crosslibs:extensible-json-layout;org.crosslibs;extensible-json-layout
pro.mickey:rest-back;pro.mickey;rest-back
com.wilddog.client:wilddog-sync-android;com.wilddog.client;wilddog-sync-android
org.webjars.bower:paper-input;org.webjars.bower;paper-input
com.github.ganfra:material-spinner;com.github.ganfra;material-spinner
org.webjars.npm:angular-dropdowns;org.webjars.npm;angular-dropdowns
org.webjars.npm:github-com-jseppi-angular-dropdowns;org.webjars.npm;github-com-jseppi-angular-dropdowns
net.oschina.zcx7878:cicada.userdriver;net.oschina.zcx7878;cicada.userdriver
net.oschina.zcx7878:cicada.mq.send;net.oschina.zcx7878;cicada.mq.send
net.oschina.zcx7878:cicada.departdriver;net.oschina.zcx7878;cicada.departdriver
net.oschina.zcx7878:cicada.authorization;net.oschina.zcx7878;cicada.authorization
gr.iti.mklab:mklab-framework-common;gr.iti.mklab;mklab-framework-common
com.github.wagzhi:catrix_2.11;com.github.wagzhi;catrix_2.11
net.oschina.zcx7878:cicada.thrift;net.oschina.zcx7878;cicada.thrift
no.arktekk.sbt:aether-deploy-1555225206;no.arktekk.sbt;aether-deploy
com.github.michaelruocco:simple-dynamo;com.github.michaelruocco;simple-dynamo
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.web.editor.feature;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.web.editor.feature
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.web.publisher.theme.default;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.web.publisher.theme.default
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.web.store.theme.default;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.web.store.theme.default
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.publisher.commons.ui;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.publisher.commons.ui
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.auth.ui;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.auth.ui
org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.authenticator;org.wso2.carbon.apimgt;org.wso2.carbon.apimgt.authenticator
org.wso2.carbon.apimgt:web-parent;org.wso2.carbon.apimgt;web-parent
com.dangdang:sharding-jdbc-transaction-async-job;com.dangdang;sharding-jdbc-transaction-async-job
com.dangdang:sharding-jdbc-transaction;com.dangdang;sharding-jdbc-transaction
com.dangdang:sharding-jdbc-transaction-storage;com.dangdang;sharding-jdbc-transaction-storage
com.dangdang:sharding-jdbc-transaction-parent;com.dangdang;sharding-jdbc-transaction-parent
com.dangdang:sharding-jdbc-config-spring;com.dangdang;sharding-jdbc-config-spring
com.dangdang:sharding-jdbc-config-yaml;com.dangdang;sharding-jdbc-config-yaml
com.dangdang:sharding-jdbc-config-common;com.dangdang;sharding-jdbc-config-common
com.dangdang:sharding-jdbc-config-parent;com.dangdang;sharding-jdbc-config-parent
com.dangdang:sharding-jdbc-core;com.dangdang;sharding-jdbc-core
com.dangdang:sharding-jdbc;com.dangdang;sharding-jdbc
org.restcomm.slee.resource.smpp:restcomm-slee-smpp;org.restcomm.slee.resource.smpp;restcomm-slee-smpp
org.restcomm.slee.resource.smpp:smpp-server-ra-ratype;org.restcomm.slee.resource.smpp;smpp-server-ra-ratype
org.restcomm.slee.resource.smpp:smpp-server-ra;org.restcomm.slee.resource.smpp;smpp-server-ra
org.restcomm.slee.resource.smpp:smpp-server-ra-du;org.restcomm.slee.resource.smpp;smpp-server-ra-du
