com.github.f1xmAn:jschedule-ds;com.github.f1xmAn;jschedule-ds
org.webjars:JSON-Patch;org.webjars;JSON-Patch
com.netflix.rxjava:rxjava-swing;com.netflix.rxjava;rxjava-swing
com.netflix.rxjava:rxjava-string;com.netflix.rxjava;rxjava-string
com.netflix.rxjava:rxjava-scalaz;com.netflix.rxjava;rxjava-scalaz
com.netflix.rxjava:rxjava-quasar;com.netflix.rxjava;rxjava-quasar
com.netflix.rxjava:rxjava-math;com.netflix.rxjava;rxjava-math
com.netflix.rxjava:rxjava-joins;com.netflix.rxjava;rxjava-joins
com.netflix.rxjava:rxjava-ios;com.netflix.rxjava;rxjava-ios
com.netflix.rxjava:rxjava-debug;com.netflix.rxjava;rxjava-debug
com.netflix.rxjava:rxjava-computation-expressions;com.netflix.rxjava;rxjava-computation-expressions
com.netflix.rxjava:rxjava-async-util;com.netflix.rxjava;rxjava-async-util
com.netflix.rxjava:rxjava-apache-http;com.netflix.rxjava;rxjava-apache-http
com.netflix.rxjava:rxjava-android-samples-build-wrapper;com.netflix.rxjava;rxjava-android-samples-build-wrapper
com.netflix.rxjava:rxjava-android;com.netflix.rxjava;rxjava-android
com.netflix.rxjava:rxjava-scala;com.netflix.rxjava;rxjava-scala
com.netflix.rxjava:rxjava-kotlin;com.netflix.rxjava;rxjava-kotlin
com.netflix.rxjava:rxjava-jruby;com.netflix.rxjava;rxjava-jruby
com.netflix.rxjava:rxjava-groovy;com.netflix.rxjava;rxjava-groovy
com.netflix.rxjava:rxjava-clojure;com.netflix.rxjava;rxjava-clojure
com.netflix.rxjava:rxjava-core;com.netflix.rxjava;rxjava-core
org.kie.modules:org-apache-commons-httpclient;org.kie.modules;org-apache-commons-httpclient
com.github.remis-thoughts:ivy-maven-plugin;com.github.remis-thoughts;ivy-maven-plugin
javax.batch:jbatch;javax.batch;jbatch
uk.org.fyodor:fyodor-jodatime;uk.org.fyodor;fyodor-jodatime
uk.org.fyodor:fyodor-core;uk.org.fyodor;fyodor-core
uk.org.fyodor:fyodor-junit;uk.org.fyodor;fyodor-junit
uk.org.fyodor:fyodor;uk.org.fyodor;fyodor
org.axonframework.scynapse:scynapse-core_2.10;org.axonframework.scynapse;scynapse-core_2.10
org.axonframework.scynapse:scynapse-akka_2.10;org.axonframework.scynapse;scynapse-akka_2.10
org.axonframework.scynapse:scynapse-test_2.10;org.axonframework.scynapse;scynapse-test_2.10
com.google.code.sbtrun-maven-plugin:sbtrun;com.google.code.sbtrun-maven-plugin;sbtrun
org.kie.workbench.widgets:kie-wb-view-source-widget;org.kie.workbench.widgets;kie-wb-view-source-widget
org.kie.workbench.services:kie-wb-common-security;org.kie.workbench.services;kie-wb-common-security
org.kie.uberfire:kie-uberfire-apps-client;org.kie.uberfire;kie-uberfire-apps-client
org.kie.uberfire:kie-uberfire-apps-backend;org.kie.uberfire;kie-uberfire-apps-backend
org.kie.uberfire:kie-uberfire-apps-api;org.kie.uberfire;kie-uberfire-apps-api
org.kie.uberfire:kie-uberfire-apps;org.kie.uberfire;kie-uberfire-apps
org.kie.uberfire:kie-uberfire-wires-bayesian-network-client;org.kie.uberfire;kie-uberfire-wires-bayesian-network-client
org.kie.uberfire:kie-uberfire-wires-bayesian-network;org.kie.uberfire;kie-uberfire-wires-bayesian-network
org.kie.uberfire:kie-uberfire-wires-bayesian-parser-backend;org.kie.uberfire;kie-uberfire-wires-bayesian-parser-backend
org.kie.uberfire:kie-uberfire-wires-bayesian-parser-api;org.kie.uberfire;kie-uberfire-wires-bayesian-parser-api
org.kie.uberfire:kie-uberfire-wires-bayesian-parser;org.kie.uberfire;kie-uberfire-wires-bayesian-parser
org.kie.uberfire:kie-uberfire-wires-core-trees;org.kie.uberfire;kie-uberfire-wires-core-trees
org.kie.uberfire:kie-uberfire-wires-core-scratchpad;org.kie.uberfire;kie-uberfire-wires-core-scratchpad
org.kie.uberfire:kie-uberfire-wires-core-client;org.kie.uberfire;kie-uberfire-wires-core-client
org.kie.uberfire:kie-uberfire-wires-core-api;org.kie.uberfire;kie-uberfire-wires-core-api
org.kie.uberfire:kie-uberfire-wires-core;org.kie.uberfire;kie-uberfire-wires-core
org.kie.uberfire:kie-uberfire-wires;org.kie.uberfire;kie-uberfire-wires
org.kie.uberfire:kie-uberfire-perspective-editor-client;org.kie.uberfire;kie-uberfire-perspective-editor-client
org.kie.uberfire:kie-uberfire-perspective-editor-backend;org.kie.uberfire;kie-uberfire-perspective-editor-backend
