com.ofcoder.klein:klein;com.ofcoder.klein;klein
com.ofcoder.klein.rpc:klein-rpc;com.ofcoder.klein.rpc;klein-rpc
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-watchosx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-watchosx64
com.ofcoder.klein.example:klein-example;com.ofcoder.klein.example;klein-example
com.ofcoder.klein.rpc.grpc:klein-rpc-grpc;com.ofcoder.klein.rpc.grpc;klein-rpc-grpc
com.ofcoder.klein.common:klein-common;com.ofcoder.klein.common;klein-common
com.ofcoder.klein.rpc.facade:klein-rpc-facade;com.ofcoder.klein.rpc.facade;klein-rpc-facade
com.ofcoder.klein.core:klein-core;com.ofcoder.klein.core;klein-core
com.ofcoder.klein.consensus:klein-consensus;com.ofcoder.klein.consensus;klein-consensus
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-watchossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-watchossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-watchosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-watchosarm64
io.github.mrdaios:templates-maven-plugin;io.github.mrdaios;templates-maven-plugin
io.github.mrdaios:templates-freemarker;io.github.mrdaios;templates-freemarker
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-watchosarm32;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-watchosarm32
io.github.mrdaios:templates-api-freemarker;io.github.mrdaios;templates-api-freemarker
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-wasm-js;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-wasm-js
io.github.mrdaios:templates-api;io.github.mrdaios;templates-api
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-tvosx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-tvosx64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-tvossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-tvossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-tvosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-tvosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-mingwx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-mingwx64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-macosx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-macosx64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-macosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-macosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-linuxx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-linuxx64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-linuxarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-linuxarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-jvm;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-jvm
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-js;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-js
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-iosx64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-iosx64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-iossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-iossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-iosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-iosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-android;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-android
de.jensklingenberg.ktorfit:ktorfit-converters-flow-ktor-3.0.0-android-debug;de.jensklingenberg.ktorfit;ktorfit-converters-flow-ktor-3.0.0-android-debug
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-watchosx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-watchosx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-watchossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-watchossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-watchosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-watchosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-watchosarm32;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-watchosarm32
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-wasm-js;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-wasm-js
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-tvosx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-tvosx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-tvossimulatorarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-tvossimulatorarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-tvosarm64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-tvosarm64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-mingwx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-mingwx64
de.jensklingenberg.ktorfit:ktorfit-converters-call-ktor-3.0.0-macosx64;de.jensklingenberg.ktorfit;ktorfit-converters-call-ktor-3.0.0-macosx64
