com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
com.krrrr38:quill-finagle-mysql_2.13;com.krrrr38;quill-finagle-mysql_2.13
com.krrrr38:protoquill-finagle-mysql_3;com.krrrr38;protoquill-finagle-mysql_3
com.dongxiguo:fastring_sjs0.6_2.10;com.dongxiguo;fastring_sjs0.6_2.10
com.dongxiguo:fastring_2.10;com.dongxiguo;fastring_2.10
com.dongxiguo:fastring_2.11;com.dongxiguo;fastring_2.11
com.dongxiguo:fastring_sjs0.6_2.11;com.dongxiguo;fastring_sjs0.6_2.11
com.dongxiguo:fastring_2.12;com.dongxiguo;fastring_2.12
com.dongxiguo:fastring_sjs0.6_2.12;com.dongxiguo;fastring_sjs0.6_2.12
org.webjars.bower:waves;org.webjars.bower;waves
org.webjars.npm:github-com-fians-Waves-;org.webjars.npm;github-com-fians-Waves-
io.github.ChinaVolvocars:logger;io.github.ChinaVolvocars;logger
io.reinert.requestor.ext:requestor-oauth2gwt;io.reinert.requestor.ext;requestor-oauth2gwt
io.reinert.requestor.core:requestor-java;io.reinert.requestor.core;requestor-java
io.reinert.requestor.ext:requestor-autobean;io.reinert.requestor.ext;requestor-autobean
io.reinert.requestor.core:requestor-core;io.reinert.requestor.core;requestor-core
io.reinert.requestor.impl:requestor-gwt;io.reinert.requestor.impl;requestor-gwt
io.reinert.requestor.ext:requestor-gson;io.reinert.requestor.ext;requestor-gson
io.reinert.requestor.core:requestor-annotations;io.reinert.requestor.core;requestor-annotations
io.reinert.requestor.ext:requestor-vertx;io.reinert.requestor.ext;requestor-vertx
io.reinert.requestor.impl:requestor-impl-parent;io.reinert.requestor.impl;requestor-impl-parent
io.reinert.requestor.ext:requestor-gwtjackson;io.reinert.requestor.ext;requestor-gwtjackson
io.reinert.requestor:requestor-parent;io.reinert.requestor;requestor-parent
io.reinert.requestor:requestor-project;io.reinert.requestor;requestor-project
io.reinert.requestor.ext:requestor-ext-parent;io.reinert.requestor.ext;requestor-ext-parent
io.reinert.requestor.core:requestor-core-parent;io.reinert.requestor.core;requestor-core-parent
io.reinert.requestor.ext:requestor-kotlin;io.reinert.requestor.ext;requestor-kotlin
io.reinert.requestor.impl:requestor-javanet;io.reinert.requestor.impl;requestor-javanet
dev.thomasglasser.sherdsapi:sherdsapi-neoforge-1.20.6;dev.thomasglasser.sherdsapi;sherdsapi-neoforge-1.20.6
dev.thomasglasser.sherdsapi:sherdsapi-fabric-1.20.6;dev.thomasglasser.sherdsapi;sherdsapi-fabric-1.20.6
dev.thomasglasser.sherdsapi:sherdsapi-common-1.20.6;dev.thomasglasser.sherdsapi;sherdsapi-common-1.20.6
com.liferay:com.liferay.sharepoint.rest.oauth2.api;com.liferay;com.liferay.sharepoint.rest.oauth2.api
com.pkware.ahocorasick:low-memory-aho-corasick;com.pkware.ahocorasick;low-memory-aho-corasick
nl.asrr:core;nl.asrr;core
io.github.darvld:buildkit-plugin;io.github.darvld;buildkit-plugin
io.github.darvld.buildkit:io.github.darvld.buildkit.gradle.plugin;io.github.darvld.buildkit;io.github.darvld.buildkit.gradle.plugin
com.liferay:com.liferay.portal.catapult.impl;com.liferay;com.liferay.portal.catapult.impl
com.liferay:com.liferay.batch.planner.api;com.liferay;com.liferay.batch.planner.api
com.liferay:com.liferay.portal.k8s.agent.api;com.liferay;com.liferay.portal.k8s.agent.api
com.twitter:finatra-http-mustache_2.13;com.twitter;finatra-http-mustache_2.13
com.twitter:inject-thrift-client-http-mapper_2.13;com.twitter;inject-thrift-client-http-mapper_2.13
com.twitter:finatra-http-server_2.13;com.twitter;finatra-http-server_2.13
com.twitter:inject-thrift-client_2.13;com.twitter;inject-thrift-client_2.13
com.twitter:inject-logback_2.13;com.twitter;inject-logback_2.13
com.twitter:finatra-http-client_2.13;com.twitter;finatra-http-client_2.13
com.twitter:finatra-validation_2.13;com.twitter;finatra-validation_2.13
com.twitter:finatra-http-core_2.13;com.twitter;finatra-http-core_2.13
com.twitter:finatra-thrift_2.13;com.twitter;finatra-thrift_2.13
com.twitter:finatra-jackson_2.13;com.twitter;finatra-jackson_2.13
com.twitter:finatra-utils_2.13;com.twitter;finatra-utils_2.13
com.twitter:finatra-mustache_2.13;com.twitter;finatra-mustache_2.13
com.twitter:inject-server_2.13;com.twitter;inject-server_2.13
com.twitter:inject-dtab_2.13;com.twitter;inject-dtab_2.13
com.twitter:inject-app_2.13;com.twitter;inject-app_2.13
com.twitter:inject-modules_2.13;com.twitter;inject-modules_2.13
com.twitter:inject-utils_2.13;com.twitter;inject-utils_2.13
com.twitter:inject-thrift_2.13;com.twitter;inject-thrift_2.13
com.twitter:inject-core_2.13;com.twitter;inject-core_2.13
com.twitter:inject-request-scope_2.13;com.twitter;inject-request-scope_2.13
com.twitter:inject-mdc_2.13;com.twitter;inject-mdc_2.13
com.twitter:inject-ports_2.13;com.twitter;inject-ports_2.13
com.twitter:inject-slf4j_2.13;com.twitter;inject-slf4j_2.13
com.twitter:inject-stack_2.13;com.twitter;inject-stack_2.13
com.twitter:finatra-http-annotations_2.13;com.twitter;finatra-http-annotations_2.13
com.twitter:finatra-http-server_2.12;com.twitter;finatra-http-server_2.12
com.twitter:finatra-http-mustache_2.12;com.twitter;finatra-http-mustache_2.12
com.twitter:inject-thrift-client-http-mapper_2.12;com.twitter;inject-thrift-client-http-mapper_2.12
com.twitter:finatra-http-core_2.12;com.twitter;finatra-http-core_2.12
com.twitter:finatra-validation_2.12;com.twitter;finatra-validation_2.12
com.twitter:finatra-http-client_2.12;com.twitter;finatra-http-client_2.12
com.twitter:finatra-jackson_2.12;com.twitter;finatra-jackson_2.12
com.twitter:finatra-thrift_2.12;com.twitter;finatra-thrift_2.12
com.twitter:finatra-utils_2.12;com.twitter;finatra-utils_2.12
com.twitter:inject-logback_2.12;com.twitter;inject-logback_2.12
com.twitter:inject-thrift-client_2.12;com.twitter;inject-thrift-client_2.12
com.twitter:finatra-mustache_2.12;com.twitter;finatra-mustache_2.12
com.twitter:inject-server_2.12;com.twitter;inject-server_2.12
com.twitter:inject-app_2.12;com.twitter;inject-app_2.12
com.twitter:inject-dtab_2.12;com.twitter;inject-dtab_2.12
com.twitter:inject-request-scope_2.12;com.twitter;inject-request-scope_2.12
com.twitter:inject-thrift_2.12;com.twitter;inject-thrift_2.12
com.twitter:inject-modules_2.12;com.twitter;inject-modules_2.12
com.twitter:inject-ports_2.12;com.twitter;inject-ports_2.12
com.twitter:inject-utils_2.12;com.twitter;inject-utils_2.12
com.twitter:inject-core_2.12;com.twitter;inject-core_2.12
com.twitter:inject-mdc_2.12;com.twitter;inject-mdc_2.12
com.twitter:inject-slf4j_2.12;com.twitter;inject-slf4j_2.12
com.twitter:finatra-http-annotations_2.12;com.twitter;finatra-http-annotations_2.12
com.twitter:inject-stack_2.12;com.twitter;inject-stack_2.12
com.liferay:com.liferay.reading.time.api;com.liferay;com.liferay.reading.time.api
com.avast.hashes:scala-hashes_2.12;com.avast.hashes;scala-hashes_2.12
com.avast.hashes:scala-hashes-circe_2.12;com.avast.hashes;scala-hashes-circe_2.12
com.avast.hashes:scala-hashes_2.13;com.avast.hashes;scala-hashes_2.13
com.avast.hashes:scala-hashes-circe_2.13;com.avast.hashes;scala-hashes-circe_2.13
com.twitter:twitter-server_2.13;com.twitter;twitter-server_2.13
com.twitter:twitter-server-opencensus_2.13;com.twitter;twitter-server-opencensus_2.13
com.twitter:twitter-server-slf4j-log4j12_2.13;com.twitter;twitter-server-slf4j-log4j12_2.13
com.twitter:twitter-server-slf4j-jdk14_2.13;com.twitter;twitter-server-slf4j-jdk14_2.13
com.twitter:twitter-server-logback-classic_2.13;com.twitter;twitter-server-logback-classic_2.13
com.twitter:twitter-server_2.12;com.twitter;twitter-server_2.12
com.twitter:twitter-server-opencensus_2.12;com.twitter;twitter-server-opencensus_2.12
com.twitter:twitter-server-slf4j-jdk14_2.12;com.twitter;twitter-server-slf4j-jdk14_2.12
com.twitter:twitter-server-logback-classic_2.12;com.twitter;twitter-server-logback-classic_2.12
com.twitter:twitter-server-slf4j-log4j12_2.12;com.twitter;twitter-server-slf4j-log4j12_2.12
com.twitter:finagle-integration_2.13;com.twitter;finagle-integration_2.13
com.twitter:finagle-opencensus-tracing_2.13;com.twitter;finagle-opencensus-tracing_2.13
com.twitter:finagle-stats_2.13;com.twitter;finagle-stats_2.13
com.twitter:finagle-memcached_2.13;com.twitter;finagle-memcached_2.13
com.twitter:finagle-http_2.13;com.twitter;finagle-http_2.13
com.twitter:finagle-zipkin-scribe_2.13;com.twitter;finagle-zipkin-scribe_2.13
com.twitter:finagle-stats-core_2.13;com.twitter;finagle-stats-core_2.13
com.twitter:finagle-scribe_2.13;com.twitter;finagle-scribe_2.13
com.twitter:finagle-thriftmux_2.13;com.twitter;finagle-thriftmux_2.13
com.twitter:finagle-zipkin-core_2.13;com.twitter;finagle-zipkin-core_2.13
com.twitter:finagle-serversets_2.13;com.twitter;finagle-serversets_2.13
com.twitter:finagle-http2_2.13;com.twitter;finagle-http2_2.13
com.twitter:finagle-mysql_2.13;com.twitter;finagle-mysql_2.13
com.twitter:finagle-thrift_2.13;com.twitter;finagle-thrift_2.13
com.twitter:finagle-redis_2.13;com.twitter;finagle-redis_2.13
com.twitter:finagle-mux_2.13;com.twitter;finagle-mux_2.13
com.twitter:finagle-netty4-http_2.13;com.twitter;finagle-netty4-http_2.13
com.twitter:finagle-postgresql_2.13;com.twitter;finagle-postgresql_2.13
com.twitter:finagle-partitioning_2.13;com.twitter;finagle-partitioning_2.13
com.twitter:finagle-base-http_2.13;com.twitter;finagle-base-http_2.13
com.twitter:finagle-exp_2.13;com.twitter;finagle-exp_2.13
com.twitter:finagle-netty4_2.13;com.twitter;finagle-netty4_2.13
com.twitter:finagle-core_2.13;com.twitter;finagle-core_2.13
com.twitter:finagle-tunable_2.13;com.twitter;finagle-tunable_2.13
com.twitter:finagle-toggle_2.13;com.twitter;finagle-toggle_2.13
com.twitter:finagle-init_2.13;com.twitter;finagle-init_2.13
com.twitter:finagle-grpc-context_2.13;com.twitter;finagle-grpc-context_2.13
com.twitter:finagle-memcached_2.12;com.twitter;finagle-memcached_2.12
com.twitter:finagle-integration_2.12;com.twitter;finagle-integration_2.12
com.twitter:finagle-opencensus-tracing_2.12;com.twitter;finagle-opencensus-tracing_2.12
com.twitter:finagle-zipkin-scribe_2.12;com.twitter;finagle-zipkin-scribe_2.12
com.twitter:finagle-stats_2.12;com.twitter;finagle-stats_2.12
com.twitter:finagle-zipkin-core_2.12;com.twitter;finagle-zipkin-core_2.12
com.twitter:finagle-scribe_2.12;com.twitter;finagle-scribe_2.12
com.twitter:finagle-stats-core_2.12;com.twitter;finagle-stats-core_2.12
com.twitter:finagle-thrift_2.12;com.twitter;finagle-thrift_2.12
com.twitter:finagle-http_2.12;com.twitter;finagle-http_2.12
com.twitter:finagle-thriftmux_2.12;com.twitter;finagle-thriftmux_2.12
com.twitter:finagle-http2_2.12;com.twitter;finagle-http2_2.12
com.twitter:finagle-serversets_2.12;com.twitter;finagle-serversets_2.12
com.twitter:finagle-redis_2.12;com.twitter;finagle-redis_2.12
com.twitter:finagle-partitioning_2.12;com.twitter;finagle-partitioning_2.12
com.twitter:finagle-mysql_2.12;com.twitter;finagle-mysql_2.12
com.twitter:finagle-postgresql_2.12;com.twitter;finagle-postgresql_2.12
com.twitter:finagle-mux_2.12;com.twitter;finagle-mux_2.12
com.twitter:finagle-netty4-http_2.12;com.twitter;finagle-netty4-http_2.12
com.twitter:finagle-netty4_2.12;com.twitter;finagle-netty4_2.12
com.twitter:finagle-base-http_2.12;com.twitter;finagle-base-http_2.12
com.twitter:finagle-exp_2.12;com.twitter;finagle-exp_2.12
com.twitter:finagle-core_2.12;com.twitter;finagle-core_2.12
com.twitter:finagle-tunable_2.12;com.twitter;finagle-tunable_2.12
com.twitter:finagle-init_2.12;com.twitter;finagle-init_2.12
com.twitter:finagle-toggle_2.12;com.twitter;finagle-toggle_2.12
com.twitter:finagle-grpc-context_2.12;com.twitter;finagle-grpc-context_2.12
com.liferay:com.liferay.json.storage.api;com.liferay;com.liferay.json.storage.api
com.liferay:com.liferay.invitation.invite.members.api;com.liferay;com.liferay.invitation.invite.members.api
com.twitter:scrooge-maven-plugin;com.twitter;scrooge-maven-plugin
com.twitter:scrooge-sbt-plugin724599971;com.twitter;scrooge-sbt-plugin
com.twitter:scrooge-sbt-plugin920682454;com.twitter;scrooge-sbt-plugin
com.twitter:scrooge-serializer_2.13;com.twitter;scrooge-serializer_2.13
com.twitter:scrooge-serializer_2.12;com.twitter;scrooge-serializer_2.12
com.twitter:scrooge-linter_2.13;com.twitter;scrooge-linter_2.13
com.twitter:scrooge-linter_2.12;com.twitter;scrooge-linter_2.12
com.twitter:scrooge-core_2.13;com.twitter;scrooge-core_2.13
com.twitter:scrooge-core_2.12;com.twitter;scrooge-core_2.12
com.twitter:scrooge-generator_2.13;com.twitter;scrooge-generator_2.13
com.twitter:scrooge-generator_2.12;com.twitter;scrooge-generator_2.12
com.twitter:scrooge-generator_2.10;com.twitter;scrooge-generator_2.10
com.twitter:scrooge-thriftvalidation_2.13;com.twitter;scrooge-thriftvalidation_2.13
com.twitter:scrooge-thriftvalidation_2.12;com.twitter;scrooge-thriftvalidation_2.12
com.twitter:scrooge-thriftvalidation_2.10;com.twitter;scrooge-thriftvalidation_2.10
com.twitter:util-jvm_3;com.twitter;util-jvm_3
com.twitter:util-security_3;com.twitter;util-security_3
com.twitter:util-stats_3;com.twitter;util-stats_3
com.twitter:util-slf4j-jul-bridge_3;com.twitter;util-slf4j-jul-bridge_3
com.twitter:util-logging_3;com.twitter;util-logging_3
com.twitter:util-cache-guava_3;com.twitter;util-cache-guava_3
com.twitter:util-thrift_3;com.twitter;util-thrift_3
com.twitter:util-app_3;com.twitter;util-app_3
com.twitter:util-registry_3;com.twitter;util-registry_3
com.twitter:util-lint_3;com.twitter;util-lint_3
com.twitter:util-routing_3;com.twitter;util-routing_3
com.twitter:util-cache_3;com.twitter;util-cache_3
com.twitter:util-app-lifecycle_3;com.twitter;util-app-lifecycle_3
com.twitter:util-codec_3;com.twitter;util-codec_3
com.twitter:util-core_3;com.twitter;util-core_3
com.twitter:util-zk-test_3;com.twitter;util-zk-test_3
com.twitter:util-slf4j-api_3;com.twitter;util-slf4j-api_3
com.twitter:util-hashing_3;com.twitter;util-hashing_3
com.twitter:util-test_2.13;com.twitter;util-test_2.13
com.twitter:util-security_2.13;com.twitter;util-security_2.13
com.twitter:util-zk_2.13;com.twitter;util-zk_2.13
com.twitter:util-jvm_2.13;com.twitter;util-jvm_2.13
com.twitter:util-logging_2.13;com.twitter;util-logging_2.13
com.twitter:util-benchmark_2.13;com.twitter;util-benchmark_2.13
com.twitter:util-slf4j-jul-bridge_2.13;com.twitter;util-slf4j-jul-bridge_2.13
com.twitter:util-tunable_2.13;com.twitter;util-tunable_2.13
com.twitter:util-app_2.13;com.twitter;util-app_2.13
com.twitter:util-jackson_2.13;com.twitter;util-jackson_2.13
com.twitter:util-stats_2.13;com.twitter;util-stats_2.13
com.twitter:util-validator_2.13;com.twitter;util-validator_2.13
com.twitter:util-thrift_2.13;com.twitter;util-thrift_2.13
com.twitter:util-cache-guava_2.13;com.twitter;util-cache-guava_2.13
com.twitter:util-cache_2.13;com.twitter;util-cache_2.13
com.twitter:util-app-lifecycle_2.13;com.twitter;util-app-lifecycle_2.13
com.twitter:util-routing_2.13;com.twitter;util-routing_2.13
com.twitter:util-reflect_2.13;com.twitter;util-reflect_2.13
com.twitter:util-class-preloader_2.13;com.twitter;util-class-preloader_2.13
com.twitter:util-codec_2.13;com.twitter;util-codec_2.13
com.twitter:util-hashing_2.13;com.twitter;util-hashing_2.13
com.twitter:util-registry_2.13;com.twitter;util-registry_2.13
com.twitter:util-lint_2.13;com.twitter;util-lint_2.13
com.twitter:util-zk-test_2.13;com.twitter;util-zk-test_2.13
com.twitter:util-core_2.13;com.twitter;util-core_2.13
com.twitter:util-slf4j-api_2.13;com.twitter;util-slf4j-api_2.13
com.twitter:util-mock_2.13;com.twitter;util-mock_2.13
com.twitter:util-validator-constraints_2.13;com.twitter;util-validator-constraints_2.13
com.twitter:util-jackson-annotations_2.13;com.twitter;util-jackson-annotations_2.13
com.twitter:util-security-test-certs_2.13;com.twitter;util-security-test-certs_2.13
com.twitter:util-function_2.13;com.twitter;util-function_2.13
com.twitter:util-benchmark_2.12;com.twitter;util-benchmark_2.12
com.twitter:util-zk_2.12;com.twitter;util-zk_2.12
com.twitter:util-test_2.12;com.twitter;util-test_2.12
com.twitter:util-security_2.12;com.twitter;util-security_2.12
com.twitter:util-jackson_2.12;com.twitter;util-jackson_2.12
com.twitter:util-logging_2.12;com.twitter;util-logging_2.12
com.twitter:util-jvm_2.12;com.twitter;util-jvm_2.12
com.twitter:util-slf4j-jul-bridge_2.12;com.twitter;util-slf4j-jul-bridge_2.12
com.twitter:util-tunable_2.12;com.twitter;util-tunable_2.12
com.twitter:util-stats_2.12;com.twitter;util-stats_2.12
com.twitter:util-cache-guava_2.12;com.twitter;util-cache-guava_2.12
com.twitter:util-validator_2.12;com.twitter;util-validator_2.12
com.twitter:util-lint_2.12;com.twitter;util-lint_2.12
com.twitter:util-app_2.12;com.twitter;util-app_2.12
com.twitter:util-thrift_2.12;com.twitter;util-thrift_2.12
com.liferay:com.liferay.flags.api;com.liferay;com.liferay.flags.api
com.twitter:util-routing_2.12;com.twitter;util-routing_2.12
com.twitter:util-cache_2.12;com.twitter;util-cache_2.12
com.twitter:util-reflect_2.12;com.twitter;util-reflect_2.12
com.twitter:util-app-lifecycle_2.12;com.twitter;util-app-lifecycle_2.12
com.twitter:util-registry_2.12;com.twitter;util-registry_2.12
com.twitter:util-codec_2.12;com.twitter;util-codec_2.12
com.twitter:util-core_2.12;com.twitter;util-core_2.12
com.twitter:util-class-preloader_2.12;com.twitter;util-class-preloader_2.12
com.liferay:com.liferay.external.reference.api;com.liferay;com.liferay.external.reference.api
com.twitter:util-zk-test_2.12;com.twitter;util-zk-test_2.12
com.twitter:util-hashing_2.12;com.twitter;util-hashing_2.12
com.twitter:util-slf4j-api_2.12;com.twitter;util-slf4j-api_2.12
com.twitter:util-mock_2.12;com.twitter;util-mock_2.12
com.twitter:util-function_2.12;com.twitter;util-function_2.12
com.twitter:util-jackson-annotations_2.12;com.twitter;util-jackson-annotations_2.12
com.twitter:util-validator-constraints_2.12;com.twitter;util-validator-constraints_2.12
com.twitter:util-security-test-certs_2.12;com.twitter;util-security-test-certs_2.12
com.twitter:util-validator-constraints_2.10;com.twitter;util-validator-constraints_2.10
com.liferay:com.liferay.document.library.sync.api;com.liferay;com.liferay.document.library.sync.api
org.mvnpm:make-dir;org.mvnpm;make-dir
com.liferay:com.liferay.change.tracking.store.api;com.liferay;com.liferay.change.tracking.store.api
com.liferay:com.liferay.asset.link.api;com.liferay;com.liferay.asset.link.api
com.liferay:com.liferay.analytics.message.storage.api;com.liferay;com.liferay.analytics.message.storage.api
io.camunda.connector:office-to-pdf;io.camunda.connector;office-to-pdf
dev.crashteam:liquibase-clickhouse;dev.crashteam;liquibase-clickhouse
com.gammarer:aws-ecs-fargate-task-termination-detection-event-rule;com.gammarer;aws-ecs-fargate-task-termination-detection-event-rule
io.github.luismibarcos:SDI;io.github.luismibarcos;SDI
com.finmatics.et:et-core;com.finmatics.et;et-core
com.finmatics.et:et-inbetween;com.finmatics.et;et-inbetween
com.finmatics.et:et-parent-pom;com.finmatics.et;et-parent-pom
org.apache.sling:org.apache.sling.distribution.api;org.apache.sling;org.apache.sling.distribution.api
jakarta.authentication:jakarta.authentication-api;jakarta.authentication;jakarta.authentication-api
se.bjurr.forks.com.maciejwalkowiak.spring:wiremock-spring-boot;se.bjurr.forks.com.maciejwalkowiak.spring;wiremock-spring-boot
se.bjurr.forks.com.maciejwalkowiak.spring:wiremock-spring-boot-parent;se.bjurr.forks.com.maciejwalkowiak.spring;wiremock-spring-boot-parent
com.gammarer:aws-ec2-instance-connect-custom-resource;com.gammarer;aws-ec2-instance-connect-custom-resource
de.adorsys.keymanagement:juggler-bouncycastle;de.adorsys.keymanagement;juggler-bouncycastle
de.adorsys.keymanagement:distributed-keyrotation-mongo;de.adorsys.keymanagement;distributed-keyrotation-mongo
de.adorsys.keymanagement:keystore-management;de.adorsys.keymanagement;keystore-management
de.adorsys.keymanagement:security-provider-adapters;de.adorsys.keymanagement;security-provider-adapters
de.adorsys.keymanagement:extras-keyrotation;de.adorsys.keymanagement;extras-keyrotation
de.adorsys.keymanagement:api;de.adorsys.keymanagement;api
de.adorsys.keymanagement:juggler;de.adorsys.keymanagement;juggler
de.adorsys.keymanagement:bouncycastle-adapter;de.adorsys.keymanagement;bouncycastle-adapter
de.adorsys.keymanagement:example-spring-distributed-keyrotation;de.adorsys.keymanagement;example-spring-distributed-keyrotation
de.adorsys.keymanagement:distributed-keyrotation-jdbc;de.adorsys.keymanagement;distributed-keyrotation-jdbc
de.adorsys.keymanagement:core;de.adorsys.keymanagement;core
de.adorsys.keymanagement:keyrotation-core;de.adorsys.keymanagement;keyrotation-core
com.gu:social-signin_2.12;com.gu;social-signin_2.12
com.gu:social-signin_2.13;com.gu;social-signin_2.13
dev.crashteam:openapi-ke-repricer;dev.crashteam;openapi-ke-repricer
dev.crashteam:openapi-uzum-space;dev.crashteam;openapi-uzum-space
io.asgardeo.java.oidc.sdk:io.asgardeo.java.oidc.sdk;io.asgardeo.java.oidc.sdk;io.asgardeo.java.oidc.sdk
io.asgardeo.java.oidc.sdk:java-oidc-sdk;io.asgardeo.java.oidc.sdk;java-oidc-sdk
org.soulwing.prospecto:prospecto-jackson;org.soulwing.prospecto;prospecto-jackson
org.soulwing.prospecto:prospecto-jaxb;org.soulwing.prospecto;prospecto-jaxb
org.soulwing.prospecto:prospecto-jaxrs;org.soulwing.prospecto;prospecto-jaxrs
org.soulwing.prospecto:prospecto-runtime;org.soulwing.prospecto;prospecto-runtime
org.soulwing.prospecto:prospecto;org.soulwing.prospecto;prospecto
org.soulwing.prospecto:prospecto-cdi-scope;org.soulwing.prospecto;prospecto-cdi-scope
org.soulwing.prospecto:prospecto-tests;org.soulwing.prospecto;prospecto-tests
org.soulwing.prospecto:prospecto-matchers;org.soulwing.prospecto;prospecto-matchers
org.soulwing.prospecto:prospecto-api;org.soulwing.prospecto;prospecto-api
org.soulwing.prospecto:prospecto-demo-jaxrs;org.soulwing.prospecto;prospecto-demo-jaxrs
com.evolvedbinary.j8xu:j8xu;com.evolvedbinary.j8xu;j8xu
org.openmuc:j60870;org.openmuc;j60870
cn.sparrowmini:sparrow-bpm;cn.sparrowmini;sparrow-bpm
cn.sparrowmini:sparrow-form;cn.sparrowmini;sparrow-form
io.qbeast:qbeast-core_2.12;io.qbeast;qbeast-core_2.12
com.fjellsoftware.javafunctionalutils:javafunctionalutils;com.fjellsoftware.javafunctionalutils;javafunctionalutils
com.teragrep:dpf_02;com.teragrep;dpf_02
hu.simplexion.adaptive:adaptive-browser;hu.simplexion.adaptive;adaptive-browser
hu.simplexion.adaptive:adaptive-browser-js;hu.simplexion.adaptive;adaptive-browser-js
hu.simplexion.adaptive:adaptive-browser-jvm;hu.simplexion.adaptive;adaptive-browser-jvm
hu.simplexion.adaptive:adaptive-email;hu.simplexion.adaptive;adaptive-email
hu.simplexion.adaptive:adaptive-email-jvm;hu.simplexion.adaptive;adaptive-email-jvm
hu.simplexion.adaptive:adaptive-email-js;hu.simplexion.adaptive;adaptive-email-js
hu.simplexion.adaptive:adaptive-exposed-jvm;hu.simplexion.adaptive;adaptive-exposed-jvm
hu.simplexion.adaptive:adaptive-exposed;hu.simplexion.adaptive;adaptive-exposed
hu.simplexion.adaptive:adaptive-exposed-js;hu.simplexion.adaptive;adaptive-exposed-js
dev.inmo:time_tracker.lib;dev.inmo;time_tracker.lib
dev.inmo:time_tracker.lib-jvm;dev.inmo;time_tracker.lib-jvm
dev.inmo:time_tracker.lib-js;dev.inmo;time_tracker.lib-js
dev.inmo:time_tracker.lib-android;dev.inmo;time_tracker.lib-android
