io.github.youngtaekh:android-util;io.github.youngtaekh;android-util
com.zzmoon.base:oceanutil;com.zzmoon.base;oceanutil
com.stuart:zcaffeine-zio1_2.13;com.stuart;zcaffeine-zio1_2.13
com.stuart:zcaffeine-zio1_3;com.stuart;zcaffeine-zio1_3
io.github.yyfcode:fastexcel;io.github.yyfcode;fastexcel
com.azure.resourcemanager:azure-resourcemanager-loadtestservice;com.azure.resourcemanager;azure-resourcemanager-loadtestservice
io.github.chayanforyou:slider;io.github.chayanforyou;slider
io.github.pityka:netlib-java-jni-linux;io.github.pityka;netlib-java-jni-linux
io.github.pityka:netlib-java-jni-osx;io.github.pityka;netlib-java-jni-osx
io.github.pityka:netlib-java;io.github.pityka;netlib-java
org.scalameta:mtags_3.2.2-RC1-bin-20221015-92f6b8c-NIGHTLY;org.scalameta;mtags_3.2.2-RC1-bin-20221015-92f6b8c-NIGHTLY
io.github.shkitter.android-version-catalogs:stack;io.github.shkitter.android-version-catalogs;stack
io.github.shkitter.android-version-catalogs:androidx;io.github.shkitter.android-version-catalogs;androidx
com.aliyun:aliyun-java-sdk-videoseg;com.aliyun;aliyun-java-sdk-videoseg
com.donghoonyoo.boilerplate:gradle-kotlin-boilerplate;com.donghoonyoo.boilerplate;gradle-kotlin-boilerplate
io.github.stripling-feng:easy-push-mail-spring-boot-starter;io.github.stripling-feng;easy-push-mail-spring-boot-starter
io.github.stripling-feng:easy-push-sms-spring-boot-starter;io.github.stripling-feng;easy-push-sms-spring-boot-starter
nz.ac.waikato.cms.adams:moa-kafka;nz.ac.waikato.cms.adams;moa-kafka
nz.ac.waikato.cms.adams:weka-package;nz.ac.waikato.cms.adams;weka-package
nz.ac.waikato.cms.adams:moa;nz.ac.waikato.cms.adams;moa
nz.ac.waikato.cms.adams:moa-pom;nz.ac.waikato.cms.adams;moa-pom
io.github.dzmitry-lakisau:month-year-picker-dialog;io.github.dzmitry-lakisau;month-year-picker-dialog
org.webjars.bowergithub.wikiki:bulma-calendar;org.webjars.bowergithub.wikiki;bulma-calendar
org.apache.flume:flume-ng-tests;org.apache.flume;flume-ng-tests
org.apache.flume:flume-tools;org.apache.flume;flume-tools
org.apache.flume.flume-ng-clients:flume-ng-log4jappender;org.apache.flume.flume-ng-clients;flume-ng-log4jappender
org.apache.flume:flume-ng-clients;org.apache.flume;flume-ng-clients
org.apache.flume:flume-ng-external-process-config-filter;org.apache.flume;flume-ng-external-process-config-filter
org.apache.flume:flume-ng-hadoop-credential-store-config-filter;org.apache.flume;flume-ng-hadoop-credential-store-config-filter
org.apache.flume:flume-ng-environment-variable-config-filter;org.apache.flume;flume-ng-environment-variable-config-filter
org.apache.flume.flume-ng-legacy-sources:flume-thrift-source;org.apache.flume.flume-ng-legacy-sources;flume-thrift-source
org.apache.flume.flume-ng-legacy-sources:flume-avro-source;org.apache.flume.flume-ng-legacy-sources;flume-avro-source
org.apache.flume:flume-ng-legacy-sources;org.apache.flume;flume-ng-legacy-sources
