com.amazon.alexa:ask-sdk-model-runtime;com.amazon.alexa;ask-sdk-model-runtime
io.github.miracelwhipp.net.common:net-common;io.github.miracelwhipp.net.common;net-common
io.github.miracelwhipp.net.nuget:net-nuget-maven;io.github.miracelwhipp.net.nuget;net-nuget-maven
io.github.miracelwhipp.net.nuget.plugin:nuget-maven-plugin;io.github.miracelwhipp.net.nuget.plugin;nuget-maven-plugin
io.github.miracelwhipp.net.provider:net-framework-provider-api;io.github.miracelwhipp.net.provider;net-framework-provider-api
org.webjars.npm:material__textfield;org.webjars.npm;material__textfield
org.webjars.npm:material__list;org.webjars.npm;material__list
org.webjars.npm:material__card;org.webjars.npm;material__card
org.webjars.npm:material__button;org.webjars.npm;material__button
org.webjars.npm:material__typography;org.webjars.npm;material__typography
org.webjars.npm:material__menu;org.webjars.npm;material__menu
com.yahoo.vespa:jaxrs_client_utils;com.yahoo.vespa;jaxrs_client_utils
com.yahoo.vespa:configserver-client;com.yahoo.vespa;configserver-client
com.hello2morrow:sonargraph-integration-access;com.hello2morrow;sonargraph-integration-access
org.neo4j.gds:neo4j-kernel-adapter-4.4.6-drop01.0;org.neo4j.gds;neo4j-kernel-adapter-4.4.6-drop01.0
org.jboss.pnc.metrics:pncmetrics;org.jboss.pnc.metrics;pncmetrics
com.tagmycode:tagmycode-sdk;com.tagmycode;tagmycode-sdk
com.goshippo:shippo-java-client;com.goshippo;shippo-java-client
com.netflix.conductor:conductor-contribs;com.netflix.conductor;conductor-contribs
io.github.fxboy:fileview-sboot;io.github.fxboy;fileview-sboot
com.imsweb:seerdata-utility;com.imsweb;seerdata-utility
com.uid2:enclave-attestation-api;com.uid2;enclave-attestation-api
org.webjars.npm:material-components-web;org.webjars.npm;material-components-web
org.webjars.npm:material__drawer;org.webjars.npm;material__drawer
org.webjars.npm:material__tab-bar;org.webjars.npm;material__tab-bar
org.webjars.npm:material__tokens;org.webjars.npm;material__tokens
org.webjars.npm:material__icon-button;org.webjars.npm;material__icon-button
org.webjars.npm:material__radio;org.webjars.npm;material__radio
org.webjars.npm:material__density;org.webjars.npm;material__density
org.webjars.npm:material__slider;org.webjars.npm;material__slider
org.webjars.npm:material__elevation;org.webjars.npm;material__elevation
org.webjars.npm:material__circular-progress;org.webjars.npm;material__circular-progress
org.webjars.npm:material__fab;org.webjars.npm;material__fab
org.webjars.npm:material__top-app-bar;org.webjars.npm;material__top-app-bar
org.webjars.npm:material__dialog;org.webjars.npm;material__dialog
org.webjars.npm:material__notched-outline;org.webjars.npm;material__notched-outline
org.webjars.npm:material__progress-indicator;org.webjars.npm;material__progress-indicator
org.webjars.npm:material__banner;org.webjars.npm;material__banner
org.webjars.npm:material__focus-ring;org.webjars.npm;material__focus-ring
org.webjars.npm:material__menu-surface;org.webjars.npm;material__menu-surface
org.webjars.npm:material__linear-progress;org.webjars.npm;material__linear-progress
org.webjars.npm:material__tooltip;org.webjars.npm;material__tooltip
org.webjars.npm:material__auto-init;org.webjars.npm;material__auto-init
org.webjars.npm:material__tab-scroller;org.webjars.npm;material__tab-scroller
org.webjars.npm:material__select;org.webjars.npm;material__select
org.webjars.npm:material__form-field;org.webjars.npm;material__form-field
org.webjars.npm:material__chips;org.webjars.npm;material__chips
org.webjars.npm:material__tab;org.webjars.npm;material__tab
org.webjars.npm:material__line-ripple;org.webjars.npm;material__line-ripple
org.webjars.npm:material__data-table;org.webjars.npm;material__data-table
org.webjars.npm:material__checkbox;org.webjars.npm;material__checkbox
org.webjars.npm:material__layout-grid;org.webjars.npm;material__layout-grid
org.webjars.npm:material__switch;org.webjars.npm;material__switch
org.webjars.npm:material__tab-indicator;org.webjars.npm;material__tab-indicator
org.webjars.npm:material__image-list;org.webjars.npm;material__image-list
org.webjars.npm:material__floating-label;org.webjars.npm;material__floating-label
org.webjars.npm:material__shape;org.webjars.npm;material__shape
org.webjars.npm:material__snackbar;org.webjars.npm;material__snackbar
org.webjars.npm:material__segmented-button;org.webjars.npm;material__segmented-button
org.scalameta:mtags_3.1.2-RC2;org.scalameta;mtags_3.1.2-RC2
org.scalameta:mtags_3.1.2-RC3;org.scalameta;mtags_3.1.2-RC3
org.scalameta:mtags_3.2.0-RC1-bin-20220424-0761c50-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220424-0761c50-NIGHTLY
org.scalameta:mtags_3.2.0-RC1-bin-20220425-ba8dccb-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220425-ba8dccb-NIGHTLY
org.scalameta:mtags_3.2.0-RC1-bin-20220426-856ba1c-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220426-856ba1c-NIGHTLY
org.scalameta:mtags_3.2.0-RC1-bin-20220423-17ec9a7-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220423-17ec9a7-NIGHTLY
org.scalameta:mtags_3.2.0-RC1-bin-20220427-b1f00a7-NIGHTLY;org.scalameta;mtags_3.2.0-RC1-bin-20220427-b1f00a7-NIGHTLY
org.odpi.egeria:catalog-builder;org.odpi.egeria;catalog-builder
com.twosixlabs.dart.tenants:tenants-api_2.12;com.twosixlabs.dart.tenants;tenants-api_2.12
com.twosixlabs.dart.tenants:tenants-client_2.12;com.twosixlabs.dart.tenants;tenants-client_2.12
com.twosixlabs.dart.tenants:tenants-controllers_2.12;com.twosixlabs.dart.tenants;tenants-controllers_2.12
com.seepine:spring-boot-starter-mybatis;com.seepine;spring-boot-starter-mybatis
net.folivo:trixnity-client-android;net.folivo;trixnity-client-android
com.ariskk:zio-raft_2.13;com.ariskk;zio-raft_2.13
cc.jinhx:spring-boot-starter-process-core;cc.jinhx;spring-boot-starter-process-core
org.hravemzdy.procezor:scala-procezor;org.hravemzdy.procezor;scala-procezor
org.hravemzdy.procezor:kotlin-procezor;org.hravemzdy.procezor;kotlin-procezor
io.github.aa86799:FragmentationXS-swipeback;io.github.aa86799;FragmentationXS-swipeback
org.webjars.bowergithub.hrynko:vue-pdf-embed;org.webjars.bowergithub.hrynko;vue-pdf-embed
io.github.aa86799:FragmentationXS;io.github.aa86799;FragmentationXS
org.webjars.npm:vue-pdf-embed;org.webjars.npm;vue-pdf-embed
io.github.aa86799:FragmentationXS-core;io.github.aa86799;FragmentationXS-core
com.naturalprogrammer.cleanflow:cleanflow;com.naturalprogrammer.cleanflow;cleanflow
com.yoti.mobile.android.sdk:yoti-button-sdk;com.yoti.mobile.android.sdk;yoti-button-sdk
io.github.sapirmedallia:distrebution;io.github.sapirmedallia;distrebution
io.syrf:syrf-geospatial;io.syrf;syrf-geospatial
net.tirasa.connid.bundles:net.tirasa.connid.bundles.cmd;net.tirasa.connid.bundles;net.tirasa.connid.bundles.cmd
io.github.RafhaelSouza:mssc-brewery-eureka;io.github.RafhaelSouza;mssc-brewery-eureka
