com.twosigma.znai:znai-ddjt-docs;com.twosigma.znai;znai-ddjt-docs
io.github.resilience4j:resilience4j-spring-cloud-common;io.github.resilience4j;resilience4j-spring-cloud-common
io.github.resilience4j:resilience4j-spring-boot;io.github.resilience4j;resilience4j-spring-boot
io.github.resilience4j:resilience4j-spring-cloud;io.github.resilience4j;resilience4j-spring-cloud
io.github.resilience4j:resilience4j-spring-boot-common;io.github.resilience4j;resilience4j-spring-boot-common
org.dfasdl:dfasdl-utils_2.13;org.dfasdl;dfasdl-utils_2.13
org.dfasdl:dfasdl-utils_2.12;org.dfasdl;dfasdl-utils_2.12
org.dfasdl:dfasdl-utils_2.11;org.dfasdl;dfasdl-utils_2.11
io.github.pakorner:dtac-component;io.github.pakorner;dtac-component
com.github.huangzhouhong:mybatis;com.github.huangzhouhong;mybatis
com.aeuok:mlog;com.aeuok;mlog
com.helger:ph-ubl-dian;com.helger;ph-ubl-dian
com.helger:ph-ublpe;com.helger;ph-ublpe
com.helger:ph-ubltr;com.helger;ph-ubltr
com.helger:ph-ubl23-codelists;com.helger;ph-ubl23-codelists
com.helger:ph-ubl23;com.helger;ph-ubl23
com.helger:ph-ubl22-codelists;com.helger;ph-ubl22-codelists
com.helger:ph-ubl22;com.helger;ph-ubl22
com.helger:ph-ubl21-codelists;com.helger;ph-ubl21-codelists
com.helger:ph-ubl21;com.helger;ph-ubl21
com.helger:ph-ubl20-codelists;com.helger;ph-ubl20-codelists
com.helger:ph-ubl20;com.helger;ph-ubl20
com.helger:ph-ubl-api;com.helger;ph-ubl-api
com.helger:ph-ubl-testfiles;com.helger;ph-ubl-testfiles
com.helger:ph-ubl-parent-pom;com.helger;ph-ubl-parent-pom
com.gregmarut.support:test-beangen;com.gregmarut.support;test-beangen
com.github.ajoecker:gauge-services;com.github.ajoecker;gauge-services
com.github.ajoecker:gauge-rest;com.github.ajoecker;gauge-rest
com.github.ajoecker:gauge-graphql;com.github.ajoecker;gauge-graphql
com.github.ajoecker:gauge-services-common;com.github.ajoecker;gauge-services-common
io.github.cmorgia:aws-secretsmanager-caching-java;io.github.cmorgia;aws-secretsmanager-caching-java
com.github.ajoecker:gauge-random-data;com.github.ajoecker;gauge-random-data
org.activiti.cloud.dependencies:activiti-cloud-dependencies;org.activiti.cloud.dependencies;activiti-cloud-dependencies
org.activiti.cloud.dependencies:activiti-cloud-dependencies-parent;org.activiti.cloud.dependencies;activiti-cloud-dependencies-parent
com.github.ajoecker:gauge-email-testing;com.github.ajoecker;gauge-email-testing
pl.beone.promena.transformer:barcode-detector-zxing-opencv;pl.beone.promena.transformer;barcode-detector-zxing-opencv
org.activiti.cloud.messages:activiti-cloud-messages-integration-tests;org.activiti.cloud.messages;activiti-cloud-messages-integration-tests
org.activiti.cloud.messages:activiti-cloud-starter-messages-hazelcast;org.activiti.cloud.messages;activiti-cloud-starter-messages-hazelcast
org.activiti.cloud.messages:activiti-cloud-starter-messages-mongodb;org.activiti.cloud.messages;activiti-cloud-starter-messages-mongodb
org.activiti.cloud.messages:activiti-cloud-starter-messages-redis;org.activiti.cloud.messages;activiti-cloud-starter-messages-redis
org.activiti.cloud.messages:activiti-cloud-starter-messages-jdbc;org.activiti.cloud.messages;activiti-cloud-starter-messages-jdbc
org.activiti.cloud.messages:activiti-cloud-starters-messages;org.activiti.cloud.messages;activiti-cloud-starters-messages
org.activiti.cloud.messages:activiti-cloud-services-messages-tests;org.activiti.cloud.messages;activiti-cloud-services-messages-tests
org.activiti.cloud.messages:activiti-cloud-services-messages-core;org.activiti.cloud.messages;activiti-cloud-services-messages-core
org.activiti.cloud.messages:activiti-cloud-services-messages;org.activiti.cloud.messages;activiti-cloud-services-messages
org.activiti.cloud.messages:activiti-cloud-messages-dependencies;org.activiti.cloud.messages;activiti-cloud-messages-dependencies
org.activiti.cloud.messages:activiti-cloud-messages-service-parent;org.activiti.cloud.messages;activiti-cloud-messages-service-parent
org.activiti.cloud.notifications.graphql:activiti-cloud-starter-notifications-graphql;org.activiti.cloud.notifications.graphql;activiti-cloud-starter-notifications-graphql
pl.beone.promena.transformer:converter-imagemagick-root;pl.beone.promena.transformer;converter-imagemagick-root
org.activiti.cloud.notifications.graphql:activiti-cloud-services-notifications-graphql-jpa-query;org.activiti.cloud.notifications.graphql;activiti-cloud-services-notifications-graphql-jpa-query
pl.beone.promena.transformer:converter-imagemagick-application-model;pl.beone.promena.transformer;converter-imagemagick-application-model
pl.beone.promena.transformer:converter-imagemagick;pl.beone.promena.transformer;converter-imagemagick
org.activiti.cloud.notifications.graphql:activiti-cloud-services-notifications-graphql-security;org.activiti.cloud.notifications.graphql;activiti-cloud-services-notifications-graphql-security
org.activiti.cloud.notifications.graphql:activiti-cloud-services-notifications-graphql-subscriptions;org.activiti.cloud.notifications.graphql;activiti-cloud-services-notifications-graphql-subscriptions
pl.beone.promena.transformer:converter-imagemagick-example;pl.beone.promena.transformer;converter-imagemagick-example
