com.github.gfx.ribbonizer:plugin;com.github.gfx.ribbonizer;plugin
org.jresearch.commons.gxt.gwt:org.jresearch.commons.gxt.gwt.pom;org.jresearch.commons.gxt.gwt;org.jresearch.commons.gxt.gwt.pom
org.jresearch.commons.gxt.gwt:org.jresearch.commons.gxt.gwt.bom;org.jresearch.commons.gxt.gwt;org.jresearch.commons.gxt.gwt.bom
org.jresearch.commons.gxt.gwt:org.jresearch.commons.gxt.gwt.utils.shared;org.jresearch.commons.gxt.gwt;org.jresearch.commons.gxt.gwt.utils.shared
org.scala-sbt:zinc-compile_2.10;org.scala-sbt;zinc-compile_2.10
org.scala-sbt:zinc-core_2.10;org.scala-sbt;zinc-core_2.10
org.scala-sbt:zinc_2.10;org.scala-sbt;zinc_2.10
org.scala-sbt:zinc-persist_2.10;org.scala-sbt;zinc-persist_2.10
org.scala-sbt:zinc-compile-core_2.10;org.scala-sbt;zinc-compile-core_2.10
org.scala-sbt:zinc-ivy-integration_2.10;org.scala-sbt;zinc-ivy-integration_2.10
org.scala-sbt:zinc-scripted_2.10;org.scala-sbt;zinc-scripted_2.10
org.webjars.npm:github-com-primer-primer;org.webjars.npm;github-com-primer-primer
com.twitter:cassovary-server_2.11;com.twitter;cassovary-server_2.11
com.twitter:cassovary-examples_2.11;com.twitter;cassovary-examples_2.11
com.twitter:cassovary-collections_2.11;com.twitter;cassovary-collections_2.11
com.twitter:cassovary-benchmarks_2.11;com.twitter;cassovary-benchmarks_2.11
com.twitter:cassovary-core_2.11;com.twitter;cassovary-core_2.11
com.twitter:cassovary_2.11;com.twitter;cassovary_2.11
com.yahoo.datasketches:sketches-misc;com.yahoo.datasketches;sketches-misc
org.webjars.npm:jspanel;org.webjars.npm;jspanel
com.jsuereth:scala-arm_2.12;com.jsuereth;scala-arm_2.12
com.jsuereth:scala-arm_2.11;com.jsuereth;scala-arm_2.11
com.jsuereth:scala-arm_2.10;com.jsuereth;scala-arm_2.10
io.github.livingdocumentation:livingdoc;io.github.livingdocumentation;livingdoc
de.ummels:scala-prioritymap_sjs0.6_2.12;de.ummels;scala-prioritymap_sjs0.6_2.12
de.ummels:scala-prioritymap_2.12;de.ummels;scala-prioritymap_2.12
de.ummels:scala-prioritymap_sjs0.6_2.11;de.ummels;scala-prioritymap_sjs0.6_2.11
de.ummels:scala-prioritymap_2.11;de.ummels;scala-prioritymap_2.11
de.ummels:scala-prioritymap_sjs0.6_2.10;de.ummels;scala-prioritymap_sjs0.6_2.10
de.ummels:scala-prioritymap_2.10;de.ummels;scala-prioritymap_2.10
org.jbpm:jbpm-console-ng-documents-client;org.jbpm;jbpm-console-ng-documents-client
org.jbpm:jbpm-console-ng-business-domain-client;org.jbpm;jbpm-console-ng-business-domain-client
org.jbpm:jbpm-console-ng-documents-backend;org.jbpm;jbpm-console-ng-documents-backend
org.jbpm:jbpm-console-ng-documents-api;org.jbpm;jbpm-console-ng-documents-api
org.jbpm:jbpm-console-ng-business-domain-backend;org.jbpm;jbpm-console-ng-business-domain-backend
org.jbpm:jbpm-console-ng-business-domain-api;org.jbpm;jbpm-console-ng-business-domain-api
org.jbpm:jbpm-console-ng-documents;org.jbpm;jbpm-console-ng-documents
org.jbpm:jbpm-console-ng-business-domain;org.jbpm;jbpm-console-ng-business-domain
org.e-hoffman.testing:AopAllianceExtensions;org.e-hoffman.testing;AopAllianceExtensions
org.e-hoffman.testing:JunitAopAllianceAdviceFixtures;org.e-hoffman.testing;JunitAopAllianceAdviceFixtures
org.e-hoffman.maven:MavenBase;org.e-hoffman.maven;MavenBase
org.e-hoffman.maven:OpenSourceParent;org.e-hoffman.maven;OpenSourceParent
org.e-hoffman.maven:StaticAnalysisConfiguration;org.e-hoffman.maven;StaticAnalysisConfiguration
com.interactuamovil.apps.contactosms:im-contactosms-sdk-java;com.interactuamovil.apps.contactosms;im-contactosms-sdk-java
