org.neo4j:parent-central;org.neo4j;parent-central
org.omnaest.maven.plugin:maven-technology-timeline-plugin;org.omnaest.maven.plugin;maven-technology-timeline-plugin
net.java.quickcheck:quickcheck;net.java.quickcheck;quickcheck
net.java.quickcheck:quickcheck-examples;net.java.quickcheck;quickcheck-examples
net.java.quickcheck:quickcheck-src-generator;net.java.quickcheck;quickcheck-src-generator
net.java.quickcheck:quickcheck-all;net.java.quickcheck;quickcheck-all
com.wenzani:mongodb-maven-plugin;com.wenzani;mongodb-maven-plugin
com.sun.messaging.mq:imqbroker;com.sun.messaging.mq;imqbroker
net.sourceforge.xbis:xbis;net.sourceforge.xbis;xbis
org.codehaus.gant:gant_groovy1.9;org.codehaus.gant;gant_groovy1.9
com.experlog:xapool;com.experlog;xapool
com.legsem.legstar:legstar-test-jvmquery;com.legsem.legstar;legstar-test-jvmquery
com.legsem.legstar:legstar-test-cultureinfo;com.legsem.legstar;legstar-test-cultureinfo
com.legsem.legstar:legstar-test;com.legsem.legstar;legstar-test
cc.co.scala-reactive:reactive-core_2.8.1;cc.co.scala-reactive;reactive-core_2.8.1
cc.co.scala-reactive:reactive-web_2.8.1;cc.co.scala-reactive;reactive-web_2.8.1
net.sf.jnati:jnati-test-harness;net.sf.jnati;jnati-test-harness
net.sf.jnati:jnati-maven-plugin;net.sf.jnati;jnati-maven-plugin
net.sf.jnati:jnati-proc;net.sf.jnati;jnati-proc
net.sf.jnati:jnati-deploy;net.sf.jnati;jnati-deploy
net.sf.jnati:jnati-core;net.sf.jnati;jnati-core
net.sf.jnati:jnati;net.sf.jnati;jnati
dk.apaq.filter:filter-lucene;dk.apaq.filter;filter-lucene
dk.apaq.filter:filter-jpa;dk.apaq.filter;filter-jpa
dk.apaq.filter:filter-core;dk.apaq.filter;filter-core
dk.apaq.filter:filter;dk.apaq.filter;filter
org.features-runner:features-runner-web;org.features-runner;features-runner-web
org.features-runner:features-runner-core;org.features-runner;features-runner-core
org.features-runner:features-runner-parent;org.features-runner;features-runner-parent
org.jglobus:JGlobus-Tomcat;org.jglobus;JGlobus-Tomcat
com.googlecode.jpattern:jpattern-rest;com.googlecode.jpattern;jpattern-rest
com.googlecode.jpattern:jpattern-shared;com.googlecode.jpattern;jpattern-shared
org.bitstrings.eclipse.m2e.connectors:parent;org.bitstrings.eclipse.m2e.connectors;parent
net.sf.jexample:jexample;net.sf.jexample;jexample
net.sourceforge.jregex:jregex;net.sourceforge.jregex;jregex
com.google.code.gaeom:gaeom;com.google.code.gaeom;gaeom
org.apache.geronimo.specs:geronimo-osgi-locator-itests;org.apache.geronimo.specs;geronimo-osgi-locator-itests
org.apache.geronimo.specs:geronimo-osgi-registry-itests;org.apache.geronimo.specs;geronimo-osgi-registry-itests
org.apache.geronimo.specs:geronimo-osgi-itestb;org.apache.geronimo.specs;geronimo-osgi-itestb
org.apache.geronimo.specs:geronimo-osgi-itesta;org.apache.geronimo.specs;geronimo-osgi-itesta
org.apache.geronimo.specs:geronimo-osgi-locator;org.apache.geronimo.specs;geronimo-osgi-locator
org.apache.geronimo.specs:geronimo-osgi-registry;org.apache.geronimo.specs;geronimo-osgi-registry
org.apache.geronimo.specs:geronimo-osgi-support;org.apache.geronimo.specs;geronimo-osgi-support
org.apache.geronimo.bundles:scout;org.apache.geronimo.bundles;scout
org.apache.geronimo.bundles:jaxb-impl;org.apache.geronimo.bundles;jaxb-impl
org.apache.geronimo.bundles:saaj-impl;org.apache.geronimo.bundles;saaj-impl
com.googlecode.t7mp:ecj362;com.googlecode.t7mp;ecj362
com.googlecode.t7mp:ecj-parent;com.googlecode.t7mp;ecj-parent
org.kuali.maven.plugins:maven-scm-plugin;org.kuali.maven.plugins;maven-scm-plugin
org.jasig.portlet.courses:CoursesPortlet;org.jasig.portlet.courses;CoursesPortlet
net.craftforge.essential:essential-testsuite;net.craftforge.essential;essential-testsuite
cc.spray.json:spray-json_2.9.0-1;cc.spray.json;spray-json_2.9.0-1
com.sun.enterprise:auto-depends-plugin-test;com.sun.enterprise;auto-depends-plugin-test
com.sun.enterprise.auto-depends-test:test-rls;com.sun.enterprise.auto-depends-test;test-rls
com.sun.enterprise.auto-depends-test:introspection;com.sun.enterprise.auto-depends-test;introspection
com.sun.enterprise.auto-depends-test:test-inhabitant-generator;com.sun.enterprise.auto-depends-test;test-inhabitant-generator
com.sun.enterprise.auto-depends-test:test-inhabitant-gen-ifaces;com.sun.enterprise.auto-depends-test;test-inhabitant-gen-ifaces
com.sun.enterprise.auto-depends-test:test-config;com.sun.enterprise.auto-depends-test;test-config
